"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter"
1,1,1,1,1,1,"train","RF",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.914285714285714,0.929816913687881,0.887274155538099,0.902867715078631,0.806708938433217,0.806708938433217,"test","RF",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.930894308943089,0.930113090398403,0.918512658227848,0.923812646882002,0.847694660936703,0.847694660936703,"train","CART",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.895238095238095,0.90693112467306,0.866653574234093,0.881282762873882,0.763755369196155,0.763755369196155,"test","CART",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
1,1,1,1,1,1,"train","Boosting",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.904761904761905,0.913955479452055,0.879811468970935,0.892857142857143,0.786498576657178,0.786498576657178,"test","Boosting",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.90650406504065,0.921730382293763,0.87686996547756,0.893138421440308,0.7874370726576,0.7874370726576,"train","SVM",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.904761904761905,0.923333333333333,0.874116260801257,0.89125932062966,0.783950617283951,0.783950617283951,"test","SVM",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.91869918699187,0.915343915343915,0.906501726121979,0.910610465116279,0.821272885789015,0.821272885789015,"train","NaiveBayes",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.923809523809524,0.922101449275362,0.911822466614297,0.916534181240064,0.833134684147795,0.833134684147795,"test","NaiveBayes",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.930894308943089,0.946907910365033,0.905926352128884,0.921525210635942,0.843710292249047,0.843710292249047,"train","KNN_Class",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
0.961904761904762,0.971830985915493,0.947368421052632,0.957729468599034,0.915594855305466,0.915594855305466,"test","KNN_Class",0,"Forest_disc_NLD50",8,9.9285991191864,1,8
1,1,1,1,1,1,"train","RF",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.933333333333333,0.943181818181818,0.913589945011783,0.925524369237005,0.851425106124924,0.851425106124924,"test","RF",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.951219512195122,0.954268292682927,0.93936996547756,0.94607234198027,0.892215568862275,0.892215568862275,"train","CART",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.904761904761905,0.923333333333333,0.874116260801257,0.89125932062966,0.783950617283951,0.783950617283951,"test","CART",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
1,1,1,1,1,1,"train","Boosting",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.923809523809524,0.936429794520548,0.900432050274941,0.914285714285714,0.829198861325742,0.829198861325742,"test","Boosting",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.90650406504065,0.926185212478506,0.874352704257768,0.892423234147733,0.786313165646952,0.786313165646952,"train","SVM",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.923809523809524,0.946666666666667,0.894736842105263,0.913007456503728,0.827160493827161,0.827160493827161,"test","SVM",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.910569105691057,0.904360465116279,0.900172612197929,0.902190414226849,0.804394968917161,0.804394968917161,"train","NaiveBayes",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.923809523809524,0.922101449275362,0.911822466614297,0.916534181240064,0.833134684147795,0.833134684147795,"test","NaiveBayes",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.934959349593496,0.954022988505747,0.909090909090909,0.925903614457831,0.852517985611511,0.852517985611511,"train","KNN_Class",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
0.971428571428571,0.978571428571429,0.960526315789474,0.968503149685031,0.937062937062937,0.937062937062937,"test","KNN_Class",0,"Forest_disc_NLD100",8.34375,9.79758381843567,1,8.34375
1,1,1,1,1,1,"train","RF",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.933333333333333,0.943181818181818,0.913589945011783,0.925524369237005,0.851425106124924,0.851425106124924,"test","RF",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.926829268292683,0.926829268292683,0.91283084004603,0.919108512970406,0.838323353293413,0.838323353293413,"train","CART",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.914285714285714,0.929816913687881,0.887274155538099,0.902867715078631,0.806708938433217,0.806708938433217,"test","CART",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
1,1,1,1,1,1,"train","Boosting",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.923809523809524,0.936429794520548,0.900432050274941,0.914285714285714,0.829198861325742,0.829198861325742,"test","Boosting",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.898373983739837,0.907949956449442,0.87054085155351,0.884595897994033,0.770162194483893,0.770162194483893,"train","SVM",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.904761904761905,0.923333333333333,0.874116260801257,0.89125932062966,0.783950617283951,0.783950617283951,"test","SVM",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.926829268292683,0.922238372093023,0.917865362485616,0.919973975276513,0.839959520023131,0.839959520023131,"train","NaiveBayes",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.914285714285714,0.921085858585859,0.892969363707777,0.904245617590435,0.808975136446331,0.808975136446331,"test","NaiveBayes",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.926829268292683,0.944204980842912,0.900244533947065,0.91664156626506,0.83408273381295,0.83408273381295,"train","KNN_Class",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
0.952380952380952,0.965277777777778,0.934210526315789,0.946803120883575,0.893875075803517,0.893875075803517,"test","KNN_Class",0,"Forest_disc_NLD200",8.125,10.719789981842,1,8.125
1,1,1,1,1,1,"train","RF",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.904761904761905,0.923333333333333,0.874116260801257,0.89125932062966,0.783950617283951,0.783950617283951,"test","RF",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.910569105691057,0.904360465116279,0.900172612197929,0.902190414226849,0.804394968917161,0.804394968917161,"train","CART",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.904761904761905,0.913955479452055,0.879811468970935,0.892857142857143,0.786498576657178,0.786498576657178,"test","CART",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
1,1,1,1,1,1,"train","Boosting",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.895238095238095,0.90693112467306,0.866653574234093,0.881282762873882,0.763755369196155,0.763755369196155,"test","Boosting",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.90650406504065,0.926185212478506,0.874352704257768,0.892423234147733,0.786313165646952,0.786313165646952,"train","SVM",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.895238095238095,0.916969147005445,0.860958366064415,0.879448909299656,0.760919064375906,0.760919064375906,"test","SVM",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.922764227642276,0.916829321188462,0.91470080552359,0.915745831455611,0.831494700410988,0.831494700410988,"train","NaiveBayes",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
0.904761904761905,0.906586578293289,0.885506677140613,0.894323671497585,0.788987138263666,0.788987138263666,"test","NaiveBayes",0,"Forest_disc_DIR50",7.75,28.7955369949341,1,7.75
