"var","Split","freq","opt_value","iter","forest"
2,0.0277,0.3295,4.02519358376932e-32,1,"Forest_disc_NLD50"
2,0.3431,0.4708,4.02519358376932e-32,1,"Forest_disc_NLD50"
2,0.7706,0.1997,4.02519358376932e-32,1,"Forest_disc_NLD50"
3,-0.70032,0.2048,1.77946767409399e-30,1,"Forest_disc_NLD50"
3,0.01161,0.5899,1.77946767409399e-30,1,"Forest_disc_NLD50"
3,0.70729,0.2053,1.77946767409399e-30,1,"Forest_disc_NLD50"
4,-0.3535,0.0762,1.02074287052524e-32,1,"Forest_disc_NLD50"
4,0.0134,0.2256,1.02074287052524e-32,1,"Forest_disc_NLD50"
4,0.2666,0.3245,1.02074287052524e-32,1,"Forest_disc_NLD50"
4,0.2942,0.2921,1.02074287052524e-32,1,"Forest_disc_NLD50"
4,0.8948,6e-04,1.02074287052524e-32,1,"Forest_disc_NLD50"
4,0.9152,0.081,1.02074287052524e-32,1,"Forest_disc_NLD50"
5,-0.6966,0.1069,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,-0.5014,0.2318,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,-0.1327,0.0683,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,0.0036,0.0426,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,0.0996,0.2519,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,0.1778,0.1354,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,0.3096,0.0349,8.04003529408756e-31,1,"Forest_disc_NLD50"
5,0.8971,0.1284,8.04003529408756e-31,1,"Forest_disc_NLD50"
6,-0.16588,0.2945,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.05467,0.1003,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.25223,0.1729,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.26168,0.2552,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.78483,0.0789,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.92541,0.0882,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.97213,0.0088,1.22874330451906e-31,1,"Forest_disc_NLD50"
6,0.98712,0.0013,1.22874330451906e-31,1,"Forest_disc_NLD50"
7,-0.927397,0.1542,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,-0.917675,0.1307,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,-0.773007,0.0832,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,-0.327495,0.0186,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,-0.215452,0.1719,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,0.036683,0.2996,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,0.047523,0.0486,5.4619373222822e-31,1,"Forest_disc_NLD50"
7,0.62428,0.093,5.4619373222822e-31,1,"Forest_disc_NLD50"
8,-0.6337,0.0363,1.04770588974666e-31,1,"Forest_disc_NLD50"
8,-0.5851,0.0303,1.04770588974666e-31,1,"Forest_disc_NLD50"
8,0.2719,0.1524,1.04770588974666e-31,1,"Forest_disc_NLD50"
8,0.3035,0.0632,1.04770588974666e-31,1,"Forest_disc_NLD50"
8,0.8639,1e-04,1.04770588974666e-31,1,"Forest_disc_NLD50"
8,0.864,0.7177,1.04770588974666e-31,1,"Forest_disc_NLD50"
9,-0.7501,0.2153,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,-0.5465,0.0125,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,-0.442,0.2301,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,0.0198,0.2119,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,0.2114,0.2484,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,0.7227,0.0013,1.10702453203378e-30,1,"Forest_disc_NLD50"
9,0.9569,0.0805,1.10702453203378e-30,1,"Forest_disc_NLD50"
10,-0.90699,0.0267,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,-0.90447,0.0989,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,-0.75251,0.1081,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,-0.62308,0.0241,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,-0.09778,0.0223,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,-0.00363,0.2813,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,0.60512,0.0075,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,0.87457,0.4217,2.18577641248396e-29,1,"Forest_disc_NLD50"
10,0.98673,0.0093,2.18577641248396e-29,1,"Forest_disc_NLD50"
11,-0.26021,0.137,2.62889437408858e-32,1,"Forest_disc_NLD50"
11,0.00663,0.4499,2.62889437408858e-32,1,"Forest_disc_NLD50"
11,0.10379,0.005,2.62889437408858e-32,1,"Forest_disc_NLD50"
11,0.17802,0.0291,2.62889437408858e-32,1,"Forest_disc_NLD50"
11,0.46493,0.379,2.62889437408858e-32,1,"Forest_disc_NLD50"
12,-0.86592,0.1493,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,-0.28503,0.0801,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,-0.26922,0.0214,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,-0.05112,0.0358,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.00246,0.0341,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.00248,0.0382,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.07473,0.1261,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.49806,0.0912,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.64675,0.0548,1.94326331388672e-31,1,"Forest_disc_NLD50"
12,0.73843,0.369,1.94326331388672e-31,1,"Forest_disc_NLD50"
13,-0.6758,0.2944,9.18788954094236e-32,1,"Forest_disc_NLD50"
13,-0.2929,0.0024,9.18788954094236e-32,1,"Forest_disc_NLD50"
13,-0.0647,0.3318,9.18788954094236e-32,1,"Forest_disc_NLD50"
13,-0.0079,0.1145,9.18788954094236e-32,1,"Forest_disc_NLD50"
13,0.7679,0.2569,9.18788954094236e-32,1,"Forest_disc_NLD50"
14,-0.9614,0.0114,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,-0.8564,0.0949,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,-0.772,0.0862,7.18492239877963e-32,1,"Forest_disc_NLD50"
