"name","data","disc_method","mean_NB_interval","std_NB_interval","mean_exe_time","std_exe_time","mean_incons","std_incons","mean_acc","std_acc","mean_Precisvvvion","std_Precision","mean_Recall","std_Recall","mean_F1","std_F1","mean_Kappa","std_Kappa","mean_Kappaw","std_Kappaw","mean_NB_interval..22","std_NB_interval..23"
"horsecolic","test","AMEVA",3.1,0.201687793635844,0.449163508415222,0.0774997598504202,0,0,0.852252252252252,0.0510220007824981,0.846027683499509,0.0563864490146481,0.837891986062718,0.0527299865948619,0.84023491800017,0.0543114609013296,0.681093299630524,0.108287250252544,0.681093299630524,0.108287250252544,3.1,0.201687793635844
"horsecolic","test","CACC",17.9125,4.18496476505427,11.936340713501,3.94975550816008,0,0,0.840690690690691,0.0553241049454274,0.833782351924669,0.0609867552197312,0.825778164924506,0.0583825636797935,0.827623159035719,0.0594803777283258,0.656112381517304,0.11852710639671,0.656112381517304,0.11852710639671,8.65,1.62586352545035
"horsecolic","test","CAIM",2,0,0.316485381126404,0.0611723371262901,0,0,0.846846846846847,0.0530522527584008,0.840809331992741,0.0587288231120155,0.831585365853659,0.0549396277427677,0.834144320459019,0.0567306835747537,0.669085087851038,0.112980791566556,0.669085087851038,0.112980791566556,2,0
"horsecolic","test","Chi2",9.9375,1.25201109406467,3.2636402130127,0.148181868094869,0,0,0.846396396396396,0.0540903069756545,0.840840449944573,0.0594124531495577,0.829375725900116,0.0574502043798696,0.832905216534649,0.0582368378446619,0.666640923655672,0.116105414481364,0.666640923655672,0.116105414481364,7.35,0.579852406703053
"horsecolic","test","ChiMerge",9.9375,1.25201109406467,2.64738681316376,0.0771251776431869,0,0,0.844894894894895,0.0539034821122563,0.839159697859849,0.0589609115949163,0.827595818815331,0.0575790478554086,0.831161490054534,0.058213231775731,0.66318485576383,0.115997247084901,0.66318485576383,0.115997247084901,7.35,0.579852406703053
"horsecolic","test","ClusterDisc",3,0,0.00586731433868408,0.00458913088816437,0,0,0.853003003003003,0.0527790710363052,0.848027180086092,0.0576613824132326,0.836718931475029,0.0547804240932737,0.840338365914983,0.0561628775006031,0.681423433265186,0.111954606596853,0.681423433265186,0.111954606596853,3,0
"horsecolic","test","Extended Chi2",1.175,0.115531197635611,4.54719161987305,0.105040163577256,0,0,0.844894894894895,0.0465053170371046,0.839346610084027,0.0518925653600116,0.827932636469222,0.0477956178272654,0.831472750323047,0.0496025537938031,0.663765496352895,0.0987750947185795,0.663765496352895,0.0987750947185795,1.175,0.115531197635611
"horsecolic","test","Forest_disc_100",4.0625,0.129167805717595,17.0903588533401,2.20287604177113,0,0,0.852252252252252,0.0538807217358556,0.845839085101062,0.0589385628624368,0.838734030197445,0.0557208177783879,0.840507357382894,0.0572248218269544,0.681679503272761,0.114096949328984,0.681679503272761,0.114096949328984,4.0625,0.129167805717595
"horsecolic","test","Forest_disc_125",4.0625,0.084560178150318,17.0773098707199,2.0980382198447,0,0,0.850600600600601,0.0536271549588653,0.843961997533515,0.0587513607919538,0.836750871080139,0.055878021813521,0.838613224867788,0.0571804178836365,0.677879388807833,0.114012320479814,0.677879388807833,0.114012320479814,4.0625,0.084560178150318
"horsecolic","test","Forest_disc_150",4.0125,0.067882625519772,16.1856186151505,3.40974827842065,0,0,0.846696696696697,0.0514860998490104,0.840315066081487,0.0572750589530546,0.832224157955865,0.0526253139563346,0.834353206565556,0.0546252974694817,0.669417604412549,0.108926929079901,0.669417604412549,0.108926929079901,4.0125,0.067882625519772
"horsecolic","test","Forest_disc_175",4.0875,0.138660358124643,16.8152568101883,2.05473964018696,0,0,0.85,0.0533579909819808,0.844091087264385,0.0587247318421425,0.835264227642276,0.0551538030264606,0.837686327615802,0.0568560741270362,0.676128490970427,0.1132557446237,0.676128490970427,0.1132557446237,4.0875,0.138660358124643
"horsecolic","test","Forest_disc_200",4.025,0.0756329226134421,17.229411315918,2.69242397922824,0,0,0.848798798798798,0.0544367697059935,0.842849214282527,0.0600996486949991,0.834732868757259,0.0561560087778323,0.836661875773685,0.0576675736108114,0.67409052706466,0.115019497324412,0.67409052706466,0.115019497324412,4.025,0.0756329226134421
"horsecolic","test","Forest_disc_25",4.05,0.0836153420355907,16.6095646619797,3.23059483275855,0,0,0.854204204204204,0.0523603871231505,0.848174572343374,0.0579391468055175,0.840113240418119,0.0538130169830631,0.842447710746436,0.0555314975000913,0.685485493443796,0.110800157152838,0.685485493443796,0.110800157152838,4.05,0.0836153420355907
"horsecolic","test","Forest_disc_50",4.0875,0.0984520015549175,15.4824439287186,2.08946512334782,0,0,0.848948948948949,0.0539869962904641,0.842690177901401,0.0598900685318353,0.834851916376307,0.0548586498162635,0.836939524188681,0.0570406301139585,0.674546368882948,0.113750082957825,0.674546368882948,0.113750082957825,4.0875,0.0984520015549175
"horsecolic","test","Forest_disc_75",4.05,0.0836153420355906,16.1178192853928,2.91135641137878,0,0,0.85045045045045,0.0542116093386753,0.844104704581983,0.0593546696099035,0.83688443670151,0.056301421588087,0.838544936894414,0.0575461369917089,0.677807333696315,0.114723774744439,0.677807333696315,0.114723774744439,4.05,0.0836153420355906
"horsecolic","test","Forest_disc_DIR100",4.3,0.514204997701322,3.79763119220734,0.0857239212340827,0,0,0.848798798798799,0.0516887615691518,0.842259765516899,0.0567685164207748,0.835322299651568,0.0528488560799925,0.836888420696421,0.0547127182416191,0.674512913729796,0.108994675071923,0.674512913729796,0.108994675071923,4.3,0.514204997701322
"horsecolic","test","Forest_disc_DIR200",4.1875,0.433929131916058,4.89632999897003,0.0647491387867946,0,0,0.848048048048048,0.051672125304647,0.841357040972646,0.0560287785899204,0.834137630662021,0.0536287262141712,0.835859291915346,0.0548750168327356,0.672466450570819,0.109264749008606,0.672466450570819,0.109264749008606,4.1875,0.433929131916058
