"name","data","class_method","disc_method","mean_NB_interval","std_NB_interval","mean_exe_time","std_exe_time","mean_exe_time_pervar","std_exe_time_pervar","mean_incons","std_incons","mean_acc","std_acc","mean_Precision","std_Precision","mean_Recall","std_Recall","mean_F1","std_F1","mean_Kappa","std_Kappa","mean_Kappaw","std_Kappaw"
"bands","test","Boosting","AMEVA",3.07368421052632,0.163072982998207,0.657460236549377,0.281138736600892,0.0346031703447041,0.0147967756105733,0,0,0.688604829017808,0.0130805587959446,0.681911547218751,0.0135587148835058,0.680208473733192,0.0148101638349168,0.680124660148829,0.0142795283204547,0.361108383993954,0.0282207455971691,0.361108383993954,0.0282207455971691
"bands","test","Boosting","CACC",6.21578947368421,0.910068167196442,1.70122556686401,0.942904804269792,0.0895381877296849,0.0496265686457785,0,0,0.726368403802032,0.0294022702134622,0.720785522520975,0.0304423179297882,0.714878293379545,0.0323329409567636,0.716341727452547,0.0320758869646848,0.433888429388181,0.0632941670575221,0.433888429388181,0.0632941670575221
"bands","test","Boosting","CAIM",2,0,0.504915690422058,0.227025405503196,0.0265745100222136,0.0119487055527998,0,0,0.698688954441167,0.0322122919990999,0.692280495700504,0.0340863178534417,0.689505692211418,0.0363722425699941,0.689493163199235,0.0348719140816022,0.380171029906751,0.0698290414225433,0.380171029906751,0.0698290414225433
"bands","test","Boosting","Chi2",5.33684210526316,0.587758574230972,2.52323355674744,0.915928132856557,0.132801766144602,0.0482067438345556,0,0,0.709739975964165,0.0279278915591121,0.705265954356619,0.0312897865460949,0.698267245114085,0.0290080837306158,0.699095597738642,0.0283443445811068,0.400199238904961,0.0573784305185963,0.400199238904961,0.0573784305185963
"bands","test","Boosting","ChiMerge",5.33684210526316,0.587758574230972,1.60333611965179,0.560558459596688,0.0843861115606208,0.0295030768208783,0,0,0.709739975964165,0.0279278915591121,0.705265954356619,0.0312897865460949,0.698267245114085,0.0290080837306158,0.699095597738642,0.0283443445811068,0.400199238904961,0.0573784305185963,0.400199238904961,0.0573784305185963
"bands","test","Boosting","ClusterDisc",3,0,0.0135019063949585,0.00577732644320186,0.000710626652366237,0.000304069812800098,0,0,0.678253031792855,0.0496157836649295,0.671673466488949,0.0529304897944665,0.6731182808639,0.0553480241180632,0.671341865793037,0.0539370275270457,0.343674059683208,0.107801016452033,0.343674059683208,0.107801016452033
"bands","test","Boosting","Extended Chi2",2.21578947368421,0.016643566632465,6.58502867221832,2.61205092374983,0.346580456432543,0.137476364407886,0,0,0.70171528460614,0.0488962189986001,0.694985659954053,0.0521314218199436,0.689725317704823,0.0500994188028466,0.691172678582093,0.0505287945409171,0.383267725824856,0.101211081218237,0.383267725824856,0.101211081218237
"bands","test","Boosting","Forest_disc_100",3.88421052631579,0.0543576609994023,66.9723425626755,25.1380420304911,3.52486013487766,1.32305484371006,0,0,0.687654320987654,0.0292731180967551,0.681384471135989,0.0319778727795119,0.679802878598248,0.031749331464465,0.678818592737491,0.0301470343744488,0.359099814066458,0.0613865161620993,0.359099814066458,0.0613865161620993
"bands","test","Boosting","Forest_disc_125",3.87368421052632,0.0271788304997013,66.9321815729141,29.6671583405343,3.52274639857443,1.56142938634391,0,0,0.696296296296296,0.0325076833878708,0.690296232698793,0.0357225319070062,0.689893617021277,0.0372843895343595,0.688367738384387,0.03465912706485,0.378043752426244,0.0704316911109189,0.378043752426244,0.0704316911109189
"bands","test","Boosting","Forest_disc_150",3.9,0.0388349888090852,65.3268555164337,25.0269116495219,3.43825555349651,1.31720587629063,0,0,0.691358024691358,0.0274519836710418,0.685584317205469,0.0288754410156973,0.68523153942428,0.02928370354777,0.683690257216711,0.0279037498163778,0.368824168980631,0.0565024323365808,0.368824168980631,0.0565024323365808
"bands","test","Boosting","Forest_disc_175",3.87894736842105,0.0355236083005555,65.8224232673645,29.1496142144461,3.46433806670339,1.53419022181295,0,0,0.695679012345679,0.0219789303592207,0.689324543280615,0.0253940256104951,0.687327909887359,0.0250627974061903,0.686706375499773,0.0229068031890917,0.374653780272949,0.0472851799249091,0.374653780272949,0.0472851799249091
