"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name"
0.788948787061995,0.78874497811357,0.782912588446904,0.784769157692139,0.570101742572792,0.570101742572792,"train","RF",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.805031446540881,0.807477413906787,0.797558295924683,0.800249961095549,0.601585574633393,0.601585574633393,"test","RF",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.771428571428571,0.77469304403633,0.761903153229239,0.764552754408275,0.531297813185959,0.531297813185959,"train","CART",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.786792452830189,0.796217372729528,0.774992363677653,0.778423994879593,0.560645309588514,0.560645309588514,"test","CART",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.791105121293801,0.789863115057344,0.79276288636172,0.790190144172445,0.58097106576244,0.58097106576244,"train","Boosting",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.80062893081761,0.798623725024452,0.800779944378787,0.799307892344649,0.598811470125173,0.598811470125173,"test","Boosting",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.791105121293801,0.789825479930192,0.792706484799044,0.790175078017069,0.580924160427231,0.580924160427231,"train","SVM",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.80188679245283,0.799847210398587,0.801920195233975,0.800532788729635,0.601238521226674,0.601238521226674,"test","SVM",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.713746630727763,0.712333628239671,0.70495020652666,0.706422256239315,0.41462427537836,0.41462427537836,"train","NaiveBayes",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.721383647798742,0.72273770514001,0.710453845428042,0.712134865900383,0.427694152709143,0.427694152709143,"test","NaiveBayes",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.728301886792453,0.725365463262774,0.725416042308222,0.725390536882472,0.450781235084277,0.450781235084277,"train","KNN_Class",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.80314465408805,0.802084652600117,0.805158635601094,0.802347115591213,0.605316376590686,0.605316376590686,"test","KNN_Class",0,"Forest_disc_NLD50",10,2.68378901481628,1,10,"banana"
0.78921832884097,0.790308880764205,0.782028817085913,0.784339780398575,0.56964808753415,0.56964808753415,"train","RF",0,"Forest_disc_NLD100",9.5,5.6530442237854,1,9.5,"banana"
0.79937106918239,0.800748355263158,0.792427167076336,0.794812233836624,0.590507253982222,0.590507253982222,"test","RF",0,"Forest_disc_NLD100",9.5,5.6530442237854,1,9.5,"banana"
0.786792452830189,0.787750166273656,0.779604871802479,0.781875836145353,0.564719982082176,0.564719982082176,"train","CART",0,"Forest_disc_NLD100",9.5,5.6530442237854,1,9.5,"banana"
0.79937106918239,0.80092232817892,0.79229603023184,0.794733180654307,0.590398788017786,0.590398788017786,"test","CART",0,"Forest_disc_NLD100",9.5,5.6530442237854,1,9.5,"banana"
