"name","data","disc_method","mean_NB_interval","std_NB_interval","mean_exe_time","std_exe_time","mean_incons","std_incons","mean_acc","std_acc","mean_Precision","std_Precision","mean_Recall","std_Recall","mean_F1","std_F1","mean_Kappa","std_Kappa","mean_Kappaw","std_Kappaw","mean_NB_interval..22","std_NB_interval..23"
"spambase","test","AMEVA",2.10877192982456,0.0190547720757256,11.2229216098785,0.084643406147708,0,0,0.932644927536232,0.0270435915366918,0.931936714201634,0.026968034436227,0.926703006262314,0.0303554352910026,0.928945850777685,0.0288546057660724,0.857960844095888,0.0576343705662368,0.857960844095888,0.0576343705662368,2.10877192982456,0.0190547720757256
"spambase","test","CACC",2.2719298245614,0.060386203520326,11.8717281341553,0.235889722418675,0,0,0.932137681159421,0.0268707232374617,0.931485673416843,0.0268187652842607,0.926091727061638,0.0301457797103093,0.928401716401567,0.0286730944709675,0.856874811395641,0.05727107331109,0.856874811395641,0.05727107331109,2.2719298245614,0.060386203520326
"spambase","test","CAIM",2,0,11.5473934650421,0.117593843090997,0,0,0.931316425120773,0.0261639777263134,0.930787751014855,0.0259284917347845,0.92509821512337,0.0296095383595678,0.927504445523117,0.0279876778531601,0.855090466610258,0.0558881510098526,0.855090466610258,0.0558881510098526,2,0
"spambase","test","ChiMerge",27.7912280701754,0.404711906559641,214.634961152077,2.56028127448209,0,0,0.928840579710145,0.0292690017435381,0.929003656879481,0.0295113915648157,0.921786679683835,0.0326840902511984,0.924770986911489,0.0312707752337278,0.849656444485897,0.0624460133704782,0.849656444485897,0.0624460133704782,12.6210526315789,0.507372443329567
"spambase","test","ClusterDisc",3,0,0.0627790927886963,0.00628981133429735,0,0,0.891111111111111,0.0247374929491956,0.889426385389123,0.0249063710324314,0.882946922788254,0.0279594192549617,0.885065843407848,0.0265226186773242,0.770433786317568,0.0527711951389724,0.770433786317568,0.0527711951389724,3,0
"spambase","test","Extended Chi2",3.97543859649123,0.159266516008815,892.142057299614,20.8358144267414,0,0,0.933599033816426,0.0306294922235697,0.933713418122183,0.0306585234707675,0.92681632012853,0.0339041871090881,0.929810246355119,0.0326477499824086,0.859712374864927,0.065186717216832,0.859712374864927,0.065186717216832,3.97543859649123,0.159266516008815
"spambase","test","Forest_disc_100",4,0,295.434370183945,10.3359997496509,0,0,0.929420289855072,0.0272020079115924,0.929600081415681,0.0261428642105304,0.922222344380336,0.0313243129847305,0.92530764893626,0.029261061253884,0.850741555869498,0.0583671282626919,0.850741555869498,0.0583671282626919,4,0
"spambase","test","Forest_disc_125",4,0,302.113075399399,11.5340523023345,0,0,0.929178743961353,0.0275794650417812,0.928840057166647,0.0271259176378499,0.922499179097476,0.0310853960452334,0.92517938024995,0.0295187526891852,0.850463941489137,0.0588922806707661,0.850463941489137,0.0588922806707661,4,0
"spambase","test","Forest_disc_150",4,0,298.890932822227,13.5712890380081,0,0,0.928272946859903,0.0280963130024107,0.928475266487694,0.0270748629896838,0.920943642109954,0.0322630040153666,0.924072071984202,0.0302962289929474,0.848285764658346,0.0603914657005563,0.848285764658346,0.0603914657005563,4,0
"spambase","test","Forest_disc_175",4,0,301.41722137928,10.2559536651057,0,0,0.929021739130435,0.0254498699409999,0.928981767887328,0.0244863113625767,0.921962953841824,0.0293191479417029,0.924937924592456,0.0273875796763156,0.849986848800523,0.0546317846479999,0.849986848800523,0.0546317846479999,4,0
