"name","nrow","ncol","ncont_att","ncat_att","cont","cat","nclass"
"APPENDICITIS",106,8,7,0,"1,2,3,4,5,6,7",NA,2
"AUSTRA",690,15,6,8,"2,3,7,10,13,14","1,4,5,6,8,9,11,12",2
"AUTOS",205,26,15,10,"1,9,10,11,12,13,16,18,19,20,21,22,23,24,25","2,3,4,5,6,7,8,14,15,17",6
"BALANCE",625,5,4,0,"1,2,3,4",NA,3
"BANANA",5300,3,2,0,"1,2",NA,2
"BANDS",540,20,19,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",NA,2
"BANKNOTE",1372,5,4,0,"1,2,3,4",NA,2
"BRCANCER",116,10,9,0,"1,2,3,4,5,6,7,8,9",NA,2
"BUPA",345,7,6,0,"1,2,3,4,5,6",NA,2
"CLEVELAND",303,14,6,7,"1,4,5,8,10,13","2,3,6,7,9,11,12",5
"CMC",1473,10,2,7,"1,4","2,3,5,6,7,8,9",3
"CRX",690,16,6,9,"2,3,8,11,14,15","1,4,5,6,7,9,10,12,13",2
"CRYOTHERAPY",90,7,4,2,"2,3,4,6","1,5",2
"DERMA",366,35,1,33,NA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",6
"ECOLI",336,8,7,0,"1,2,3,4,5,6,7",NA,8
"GERMAN",1000,21,3,17,"2,5,13","1,3,4,6,7,8,9,10,11,12,14,15,16,17,18,19,20",2
"HABERMAN",306,4,3,0,"1,2,3",NA,2
"HAYES",160,5,4,0,"1,2,3,4",NA,3
"HEART",270,14,5,8,"1,4,5,8,10","2,3,6,7,9,11,12,13",2
"HEPATISIS",155,20,6,13,"1,14,15,16,17,18","2,3,4,5,6,7,8,9,10,11,12,13,19",2
"HORSECOLIC",368,24,8,15,"3,4,5,6,16,19,20,22","1,2,7,8,9,10,11,12,13,14,15,17,18,21,23",2
"HYPOTHYROID",3163,25,6,18,"1,15,17,19,21,23","2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,24",2
"IMMUNOTHERAPY",90,8,5,2,"2,3,4,6,7","1,5",2
"INDIAN",583,11,9,1,"1,3,4,5,6,7,8,9,10","2",2
"ION",351,34,32,1,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1",2
"IRIS",150,5,4,0,"1,2,3,4",NA,3
"MAMMOGRAPHIC",961,6,5,0,"1,2,3,4,5",NA,2
"MUTAGENESIS",1618,12,3,8,"1,2,3","4,5,6,7,8,9,10,11",2
"NEWTHYROID",215,6,5,0,"1,2,3,4,5",NA,3
"PAGEBLOCKS",5473,11,10,0,"1,2,3,4,5,6,7,8,9,10",NA,5
"PENBASED",10992,17,16,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",NA,10
"PHONEME",5404,6,5,0,"1,2,3,4,5",NA,2
"PIMA",767,9,8,0,"1,2,3,4,5,6,7,8",NA,2
"SAT",6435,37,36,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",NA,6
"SEGMENTATION",2310,19,18,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",NA,7
"SPAMBASE",4597,58,57,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",NA,2
"SPECTFHEART",267,45,44,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44",NA,2
"TAE",151,6,3,2,"2,3,5","1,4",3
"TEXTURE",5500,41,40,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",NA,11
"THYROID",7200,22,6,15,"1,17,18,19,20,21","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",3
"TITANIC",2201,4,3,0,"1,2,3",NA,2
"VEHICLE",846,19,18,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",NA,4
"VERTEBRAL",310,7,6,0,"1,2,3,4,5,6",NA,3
"WAVE",5000,22,21,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",NA,3
"WDBC",569,31,30,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",NA,2
"WILT",4839,6,5,0,"1,2,3,4,5",NA,2
"WINE",178,14,13,0,"1,2,3,4,5,6,7,8,9,10,11,12,13",NA,3
"WIRELESS",2000,8,7,0,"1,2,3,4,5,6,7",NA,4
"WISCONSIN",683,10,9,0,"1,2,3,4,5,6,7,8,9",NA,2
"YEAST",1484,9,6,2,"1,2,3,4,7,8","5,6",10
