"disc_method","class_method","data","mean_NB_interval","std_NB_interval","SE_NB_interval","mean_exetimepervar","std_exetimepervar","SE_exetimepervar","mean_acc","std_acc","SE_acc","mean_F1","std_F1","SE_F1","mean_Kappa","std_Kappa","SE_Kappa"
"AMEVA","Boosting","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.775333125919335,0.00266199420019861,0.000841796479078585,0.722805441881005,0.00609632514948319,0.00192782728293334,0.568447587225921,0.00915105295739353,0.00289381703341833
"AMEVA","CART","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.78858824955001,0.00408653265732154,0.00129227509297964,0.726107899447856,0.0058055689638106,0.00183588210388251,0.571539454634605,0.00707591964156503,0.00223760226076677
"AMEVA","KNNC","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.882647216397174,0.00869788080221349,0.00275051141516471,0.848477595486033,0.00799606052106343,0.00252857635551132,0.74688390851015,0.0118484294101557,0.00374680236318172
"AMEVA","NaiveBayes","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.800931746190872,0.0040637173073044,0.00128506024581283,0.743548557665029,0.00421659700376473,0.00133340505069381,0.58954565225411,0.00723949649332837,0.00228932980317196
"AMEVA","RF","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.826761306165634,0.00529794328063669,0.00167535676811966,0.770605350256071,0.00567915143649048,0.0017959053716327,0.627567742278606,0.0083366843921885,0.00263629108132921
"AMEVA","SVM","TEST",3.66648566681856,0.0286603282315407,0.00906319156996942,0.704531060285156,0.0400124532637132,0.0126530487084372,0.81086027484434,0.00232057632494762,0.000733830667109749,0.742807794368513,0.00479391819960468,0.00151597004272845,0.59738256153346,0.00626668290357487,0.00198169913493339
"CACC","Boosting","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.777742965754292,0.00488264396641415,0.00154402759375474,0.727685249525135,0.00481724392698902,0.00152334628538992,0.575579060004053,0.0088072277821803,0.00278508996636031
"CACC","CART","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.781084414528305,0.0043577996164487,0.00137805723745861,0.721033994117771,0.00524396553215973,0.00165828750530417,0.558727409762687,0.00953392234218238,0.00301489096364635
"CACC","KNNC","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.895312332291355,0.00760420032246291,0.00240465928031697,0.865722820581066,0.00664363257242031,0.00210090108661317,0.775618144059372,0.00914556647127928,0.00289208205417114
"CACC","NaiveBayes","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.800227152008705,0.00327996478340203,0.00103721593606913,0.742297326572568,0.00526882560091184,0.00166614894930867,0.586453450969668,0.00688492975805758,0.0021772059565734
"CACC","RF","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.823546932286147,0.00372035567857935,0.0011764797650252,0.762217128129825,0.00570557372841588,0.00180426083398131,0.613680956517073,0.00794588745568249,0.00251271023913169
"CACC","SVM","TEST",11.3243624764855,1.33450662074886,0.422008047414091,5.92109403125638,1.67929305740905,0.531039092032049,0.802853419092461,0.00318431427312771,0.00100696858888671,0.73003791488613,0.00490235156841017,0.00155025968470749,0.575665553647062,0.00754258439624308,0.00238517461361741
"CAIM","Boosting","TEST",3.31015238095238,0.0014798025255699,0.000467954646807043,0.670918444601087,0.0432069146695866,0.0136632261024435,0.771101689847892,0.00423769843305964,0.0013400779085395,0.71252770213025,0.00467158180977054,0.00147728387946863,0.555896639275349,0.00741552971123928,0.00234499639441668
"CAIM","CART","TEST",3.31015238095238,0.0014798025255699,0.000467954646807043,0.670918444601087,0.0432069146695866,0.0136632261024435,0.78885105030328,0.00551230057699569,0.00174314249707667,0.721032037852798,0.00725533236389926,0.00229433754514553,0.567039546928062,0.0102770669390592,0.00324989391934419
