"disc_method","name","data","mean_NB_interval","std_NB_interval","SE_NB_interval","mean_exetimepervar","std_exetimepervar","SE_exetimepervar","mean_acc","std_acc","SE_acc","mean_F1","std_F1","SE_macroF1","mean_Kappa","std_Kappa","SE_kappa","nrow","ncont_att"
"AMEVA","APPENDICITIS","TEST",2.04285714285714,0.066017827220348,0.00852286484590689,0.0329259327479771,0.00416626259181516,0.000537862187800902,0.834895833333333,0.120700921630055,0.0155824219781696,0.734168491295303,0.127739895473207,0.0164911495938002,0.492909381422736,0.198305881775342,0.0256011792523626,106,7
"AMEVA","AUSTRA","TEST",2.06666666666667,0.0823386969592636,0.0106298800690549,0.226881817976634,0.0111497579783518,0.00143942756547999,0.865458937198068,0.0340301000980196,0.0043932670316467,0.863332405492883,0.0344516931756396,0.00444769446393,0.727128439812735,0.0687319789686159,0.00887326032991092,690,6
"AMEVA","AUTOS","TEST",6.27999999999999,0.212171980130606,0.0273912848525896,0.140437127749125,0.00668991024334086,0.000863663698669385,0.706720430107527,0.135320127647611,0.0174697533595287,0.627281184099513,0.208551822308916,0.0269239244874547,0.609024041868798,0.191174175657621,0.0246804799515632,205,15
"AMEVA","BALANCE","TEST",3,0,0,0.0040901243686676,0.000404893809015512,5.22715659766522e-05,0.773707664884135,0.0315753209785868,0.00407635641004067,0.542668282359696,0.0359677267402464,0.00464341355553045,0.581782417786953,0.059118468084622,0.00763216141150118,625,4
"AMEVA","BANANA","TEST",2.6,0.201687793635844,0.0260377821961648,2.13721024990082,0.182378544939011,0.0235449689084776,0.716844863731656,0.027038469485514,0.00349065140081111,0.709194107746299,0.0401935352221422,0.00518896308468526,0.424038333876048,0.0593808014430782,0.00766602850244971,5300,2
"AMEVA","BANDS","TEST",3.07368421052631,0.156010162659652,0.0201408253939981,0.0346031703447041,0.0141559155134196,0.00182752083445978,0.741499144178593,0.0927340483084534,0.0119719141575011,0.728201810044509,0.0984280644496753,0.0127070084804341,0.460298644517889,0.194729191251674,0.0251394304912724,540,19
"AMEVA","BANKNOTE","TEST",2.925,0.226898767840325,0.0292925049706854,0.798473429679871,0.0623246254570575,0.00804607454845995,0.865695792880259,0.0765023873981446,0.00987641574460408,0.853817077486959,0.0986882937701513,0.0127406039412474,0.719461162168754,0.170845298560088,0.0220560332033685,1372,4
"AMEVA","BRCANCER","TEST",3.03333333333333,0.305011499891255,0.0393768153160191,0.1063466363483,0.0114164692561137,0.00147385984338058,0.691428571428572,0.109563455644971,0.0141445813021969,0.68313419853723,0.116854931088912,0.0150859067343191,0.375987255513591,0.223448162198372,0.0288470336978316,116,9
"AMEVA","BUPA","TEST",2.73333333333333,0.369760954999048,0.0477359340263021,0.0356791098912557,0.00792914226429816,0.00102364786464454,0.667637540453075,0.0606802150153756,0.00783378207329449,0.64870863276997,0.0640611864525885,0.00827026360897211,0.30465230615439,0.125394295960681,0.0161883339988374,345,6
"AMEVA","CLEVELAND","TEST",4.85,0.231062395271221,0.0298300269606745,0.126283284028371,0.0115868620008156,0.00149585745213208,0.603442028985507,0.132271695486402,0.0170762024597817,0.393697078243243,0.216353836047753,0.0279311601300345,0.357178349359138,0.214875034049049,0.027740247612924,303,6
