"disc_method","data","mean_NB_interval","std_NB_interval","mean_exetimepervar","std_exetimepervar","mean_acc","std_acc","mean_F1","std_F1","mean_Kappa","std_Kappa"
"AMEVA","TEST",3.66648566681856,2.08697397361079,0.704531060285156,1.57009273005577,0.814186986511227,0.119528045205767,0.759058773184085,0.15001261920441,0.616894484406142,0.231007766034217
"AMEVA","TRAIN",3.66648566681856,2.08697397361079,0.704531060285156,1.57009273005577,0.878830887350546,0.0965977063401413,0.845524787553841,0.116485320470701,0.7519412176131,0.193003553055902
"CACC","TEST",11.3243624764855,18.1744122152732,5.92109403125639,22.7851022615862,0.813461202660211,0.118889329040998,0.75816573896875,0.150382403380155,0.614287429159986,0.233302055772347
"CACC","TRAIN",11.3243624764855,18.1744122152732,5.92109403125639,22.7851022615862,0.895125705375461,0.0886339723973931,0.865782407999174,0.107911470526793,0.787260303004685,0.170975850126441
"CAIM","TEST",3.31015238095238,2.21321889062901,0.670918444601087,1.51604196624163,0.809793577749315,0.12281292955375,0.749645599439189,0.154108779672837,0.603699053200772,0.242008108763097
"CAIM","TRAIN",3.31015238095238,2.21321889062901,0.670918444601087,1.51604196624163,0.864792267276103,0.104526028384564,0.821834714700195,0.131536786407085,0.716046759836854,0.220662849635987
"Chi2","TEST",32.324686099646,67.2302623022663,26.0346965332173,88.9368803669996,0.818899000154796,0.119294318051372,0.764946422760672,0.147250575132463,0.625760314325775,0.231906528485714
"Chi2","TRAIN",32.324686099646,67.2302623022663,26.0346965332173,88.9368803669996,0.919073175562995,0.0756559089940452,0.893868315000872,0.0990973818806382,0.839568699611034,0.139830653081047
"ChiMerge","TEST",29.0438908615507,64.4893145293427,23.8204142555239,87.7599612741988,0.815421042801695,0.123495028639151,0.761849981363157,0.148458580879868,0.619990300827417,0.234558398023191
"ChiMerge","TRAIN",29.0438908615507,64.4893145293427,23.8204142555239,87.7599612741988,0.908143061960561,0.0925550509924511,0.881895382546313,0.114432008328991,0.819944176029392,0.16844724811206
"ClusterDisc","TEST",2.97952380952381,0.105569719466797,0.00117068113205514,0.00117980741527874,0.802741871459572,0.121104385540548,0.728366161372856,0.160922135053891,0.569971774329879,0.249225257833412
"ClusterDisc","TRAIN",2.97952380952381,0.105569719466797,0.00117068113205514,0.00117980741527874,0.854895905126428,0.102836188722575,0.795478474414436,0.147102057809146,0.678434143489442,0.234452635541687
"EqualLength","TEST",4.99285714285714,0.0711417085369075,0.00167447297932036,0.00199562311556724,0.799751308863063,0.120239907081511,0.715418775680066,0.165964795899955,0.551197660842907,0.260533022214525
"EqualLength","TRAIN",4.99285714285714,0.0711417085369075,0.00167447297932036,0.00199562311556724,0.857819763652626,0.0986863540556582,0.789110583224779,0.149254710667771,0.670180035685835,0.23866950575701
"ExtendedChi2","TEST",5.61897097887493,8.2880298041343,28.2726183637391,91.8215327008838,0.807622950993271,0.135169854479124,0.749383237452791,0.16804134809902,0.605775774242002,0.257686344453318
"ExtendedChi2","TRAIN",5.61897097887493,8.2880298041343,28.2726183637391,91.8215327008838,0.857213476659663,0.124466301279127,0.814196334433241,0.156008275951534,0.707806353955311,0.242065157530215
"ForestDisc","TEST",6.76400945443445,1.2279167946874,0.463390659530881,0.169606574755907,0.818193295611184,0.117849331005608,0.752086985835927,0.151996449164006,0.610989585151952,0.234608796725087
"ForestDisc","TRAIN",6.76400945443445,1.2279167946874,0.463390659530881,0.169606574755907,0.881131180393166,0.0908534547098594,0.832963350572196,0.118172985832337,0.742838082149058,0.181988995917039
"GLMDisc","TEST",2.82665314802157,0.523657262510029,9.30464102161455,14.0417113415114,0.781916780395922,0.128413199847719,0.707234373175132,0.164843723775495,0.544738211598406,0.251347576076673
"GLMDisc","TRAIN",2.82665314802157,0.523657262510029,9.30464102161455,14.0417113415114,0.83002549807564,0.120009036114852,0.770418859948798,0.157144016277324,0.647870128002475,0.240538032216341
"Infogain","TEST",3.05461108058608,1.72249771657861,0.104802921567082,0.203209959796521,0.807724309171266,0.124680610346093,0.749985304314543,0.157170636594825,0.602128829859918,0.250346004335221
"Infogain","TRAIN",3.05461108058608,1.72249771657861,0.104802921567082,0.203209959796521,0.863120665106066,0.107632043502008,0.824099864213992,0.133919176005748,0.716221266454784,0.225585363743574
"Logreg","TEST",2.97728522588523,1.71351253973288,0.0108275083758829,0.00959967226041455,0.801830115690931,0.125289192768926,0.73187530511069,0.158922767278858,0.57293874854914,0.255041167826967
"Logreg","TRAIN",2.97728522588523,1.71351253973288,0.0108275083758829,0.00959967226041455,0.85146077322064,0.109794019339365,0.799863359754281,0.139827646379348,0.675718838303729,0.240469846093151
"MDLP","TEST",5.50338678346508,6.77225454710999,0.431439193605014,1.31242654973412,0.803340058727114,0.138273025521449,0.740711781576943,0.170458550658151,0.59356303158191,0.257539857208036
"MDLP","TRAIN",5.50338678346508,6.77225454710999,0.431439193605014,1.31242654973412,0.852844599014163,0.132276469486989,0.807808210928569,0.163769778381693,0.702694368855571,0.245519410866662
"ModifiedChi2","TEST",4.28812831320726,4.91039851644339,24.0730240986954,88.4414470489697,0.804637970444211,0.133843084661267,0.743760418921547,0.169907949834387,0.593645737064084,0.263491275758867
"ModifiedChi2","TRAIN",4.28812831320726,4.91039851644339,24.0730240986954,88.4414470489697,0.85539471038577,0.122704885659312,0.808885139337314,0.160003218944138,0.698467605953521,0.247598329500532
"Naive","TEST",3.2503003968254,2.11557850887635,0.00239938159108271,0.00175302407631791,0.800250880546412,0.126758912032025,0.734446244831201,0.157971312150234,0.576976184809266,0.252340700430456
"Naive","TRAIN",3.2503003968254,2.11557850887635,0.00239938159108271,0.00175302407631791,0.853886892650566,0.109424318606222,0.806624724289262,0.134227384474002,0.685390220223115,0.234715260827461
"OneR","TEST",4.77361267854952,2.52572241742764,0.0162083746769588,0.0153161022046798,0.770184884208774,0.141963505859517,0.696082120422076,0.179362147543767,0.534615967583977,0.263328986005221
"OneR","TRAIN",4.77361267854952,2.52572241742764,0.0162083746769588,0.0153161022046798,0.842119168216175,0.1338326163864,0.786328766896169,0.175536415012964,0.681021450904521,0.257468198786984
"QuantilDisc","TEST",4.78412738095238,0.44376389009853,0.00187131463950734,0.00246376681830356,0.815955004687305,0.115434508199338,0.751254290747611,0.148535069826143,0.61012893367348,0.22597685562204
"QuantilDisc","TRAIN",4.78412738095238,0.44376389009853,0.00187131463950734,0.00246376681830356,0.887703260064709,0.0857792265598456,0.844520855857243,0.115522691583916,0.763965410578204,0.168230448013161
"RDGR","TEST",3.85484411451122,1.20053754985912,0.186659924322656,0.117469649865459,0.80386075697396,0.119022505338574,0.735744418371115,0.15294289981056,0.586077631266882,0.227290740778704
"RDGR","TRAIN",3.85484411451122,1.20053754985912,0.186659924322656,0.117469649865459,0.871422605325249,0.0950615458620485,0.822762712525599,0.132018137763311,0.727997040186044,0.197006243570501
"RSTGDH","TEST",2.61079085417507,1.73223391507819,0.0144737090622,0.0237976870336043,0.796824260582114,0.128757724642767,0.735893917081134,0.156792798582908,0.592853187345609,0.229696360218801
"RSTGDH","TRAIN",2.61079085417507,1.73223391507819,0.0144737090622,0.0237976870336043,0.858199885906428,0.113008578412804,0.814967007306198,0.136656070081299,0.723180916571644,0.191000664927622
"RSTLDH","TEST",2.97630576441103,0.111990687219242,0.00489848161259677,0.00572890513433634,0.804653771034613,0.129481180911577,0.744560666435132,0.15834450025749,0.600830831931838,0.240573437204737
"RSTLDH","TRAIN",2.97630576441103,0.111990687219242,0.00489848161259677,0.00572890513433634,0.86380483341977,0.113773127408017,0.822630035901009,0.136822550272181,0.72793726135219,0.206609242781923
"ScottEqualWidth","TEST",14.1098330288133,9.72676108012805,0.00237776329076047,0.00231818305510884,0.818457309595565,0.115438388264103,0.752642398501152,0.150715088197761,0.608946718890954,0.229001677035224
"ScottEqualWidth","TRAIN",14.1098330288133,9.72676108012805,0.00237776329076047,0.00231818305510884,0.898152024384007,0.0751150090538501,0.856439432644833,0.106856368600618,0.776263029041028,0.160540294490751
"cont","TEST",NA,NA,0,0,0.826474181507839,0.112097217032987,0.772956994092066,0.140636361212091,0.643154761797109,0.211726861888756
"cont","TRAIN",NA,NA,0,0,0.90041944274989,0.0720426580385827,0.868063059147989,0.0892992594417766,0.795145168276702,0.13489470321073
