"data","disc_method","mean_NB_interval","std_NB_interval","SE_NB_interval","mean_exetimepervar","std_exetimepervar","SE_exetimepervar","mean_acc","std_acc","SE_acc","mean_F1","std_F1","SE_F1","mean_Kappa","std_Kappa","SE_Kappa"
"TEST","AMEVA",3.66648566681856,0.136777195952735,0.0176578600688631,0.704531060285156,0.077542928103365,0.0100107489720164,0.814186986511227,0.0624038239386346,0.00805629902846638,0.759058773184084,0.0803176950437822,0.0103689698436778,0.616894484406142,0.117906996147563,0.0152217277493618
"TEST","CACC",11.3243624764855,3.57598586300736,0.461657789790022,5.92109403125638,2.4792173145507,0.320065579029465,0.813461202660211,0.0647877704851572,0.00836406520423075,0.758165738968749,0.0831690560963617,0.0107370789727,0.614287429159986,0.12353656764137,0.0159485023040884
"TEST","CAIM",3.31015238095238,0.0025475317700416,0.000328884937310181,0.670918444601088,0.0610568541922385,0.00788240598194515,0.809793577749315,0.0613688767579008,0.00792268792196018,0.749645599439189,0.0794040444475358,0.010251018058894,0.603699053200771,0.114888205164797,0.0148320035092973
"TEST","Chi2",32.324686099646,1.94073902291868,0.250548330503297,26.0346965332173,2.13528487053281,0.275664091432742,0.818899000154796,0.0674097252713274,0.00870255811160894,0.764946422760672,0.0878570144683301,0.0113422917961115,0.625760314325775,0.134398255960934,0.017350740236534
"TEST","ChiMerge",29.0438908615507,1.37240277463655,0.17717643634854,23.8204142555239,2.05274105670101,0.265007730889308,0.815421042801695,0.0660425780587498,0.00852606016540471,0.761849981363157,0.0860882966221571,0.0111139513040326,0.619990300827416,0.132188021712316,0.0170654002219968
"TEST","ClusterDisc",2.97952380952381,0.00144062709739886,0.000185984158544031,0.00117068113205514,0.000659970910313879,8.52018781542334e-05,0.802741871459572,0.0626683622537313,0.00809045077809316,0.728366161372855,0.0774468759864372,0.00999834869704207,0.569971774329879,0.11547613054825,0.0149079043499282
"TEST","EqualLength",4.99285714285714,0.0072031354869944,0.000929920792720165,0.00167447297932036,0.000674087304846409,8.70242968519994e-05,0.799751308863063,0.0671885370177799,0.0086740028308634,0.715418775680066,0.0862904604179972,0.0111400505378491,0.551197660842908,0.125129548445748,0.0161541552416279
"TEST","ExtendedChi2",5.61897097887493,0.413159192123226,0.0533386223475255,28.2726183637391,2.58333714296099,0.333507391077566,0.80762295099327,0.0514654113691454,0.00664415603794713,0.749383237452791,0.0716908711398988,0.00925525166666433,0.605775774242002,0.100657796588613,0.0129948656617877
"TEST","ForestDisc",6.76400945443446,0.713930702034548,0.0921680573108659,0.463390659530881,0.038729531965976,0.00499996107702109,0.818193295611184,0.0641021755345443,0.00827555527669849,0.752086985835926,0.0908132385485789,0.0117239386837936,0.610989585151952,0.132679635316309,0.0171288672653646
"TEST","GLMDisc",2.82665314802157,0.246748912933499,0.0318551476828742,9.30464102161454,0.948998352123303,0.122515160445061,0.781916780395922,0.0672611895783091,0.00868338223609637,0.707234373175131,0.085549523249406,0.0110443959606978,0.544738211598406,0.124568492622579,0.0160817232463137
"TEST","Infogain",3.05461108058608,0.0367472698551621,0.00474405213892109,0.104802921567082,0.00806403637136298,0.00104106261898332,0.807724309171267,0.0619227531511863,0.00799419305686192,0.749985304314543,0.0795740148660647,0.010272961145571,0.602128829859919,0.114886535898928,0.0148317880080003
"TEST","Logreg",2.97728522588523,0.0324426456854243,0.00418832754821854,0.0108275083758829,0.00170586245595428,0.000220225896094381,0.80183011569093,0.062412846925061,0.00805746389100514,0.73187530511069,0.0808594991189993,0.0104389164490186,0.57293874854914,0.115439788958353,0.0149032126708466
"TEST","MDLP",5.50338678346507,0.364544701523129,0.0470625185982411,0.431439193605014,0.0551126589442638,0.00711501367521143,0.803340058727114,0.0546635581768019,0.00705703501543981,0.740711781576942,0.0760909652267722,0.00982330137067122,0.593563031581909,0.106378317560388,0.0137333817436315
"TEST","ModifiedChi2",4.28812831320726,0.32786131719732,0.0423267140456949,24.0730240986954,2.13720964340239,0.275912578541711,0.804637970444211,0.0539297074292072,0.00696229529130527,0.743760418921548,0.0720367815431016,0.00929990850769381,0.593645737064084,0.103406414577336,0.0133497107183013
"TEST","Naive",3.2503003968254,0.0228492260576594,0.00294982239983478,0.00239938159108271,0.00065589230556029,8.46753325446863e-05,0.800250880546412,0.0632883860558969,0.00817049550676114,0.7344462448312,0.083763599991968,0.0108138342595757,0.576976184809266,0.121222933877924,0.0156498134695868
"TEST","OneR",4.77361267854952,0.431976972670938,0.0557679873699879,0.0162083746769588,0.00553097655718364,0.000714046003141195,0.770184884208773,0.0691508039809768,0.00892733040650589,0.696082120422076,0.0802098443065027,0.0103550463733658,0.534615967583977,0.111871827770629,0.014442590862181
"TEST","QuantilDisc",4.78412738095238,0.0229480614000172,0.00296258198766706,0.00187131463950734,0.000822667347639611,0.000106205897895895,0.815955004687305,0.066311868334406,0.00856082539050178,0.751254290747611,0.0892453707797001,0.0115215278251961,0.61012893367348,0.13281835047139,0.0171467753148811
"TEST","RDGR",3.85484411451122,0.130218919106915,0.0168111901687404,0.186659924322656,0.016078725052872,0.00207575447860071,0.80386075697396,0.0672755871624652,0.00868524095621844,0.735744418371115,0.0874578573717877,0.0112907608365306,0.586077631266881,0.132458873162828,0.0171003669939011
"TEST","RSTGDH",2.61079085417507,0.048711922742947,0.0062886821848392,0.0144737090622,0.00143305426322101,0.000185006509855551,0.796824260582114,0.0609022277817277,0.0078624437981854,0.735893917081134,0.0783202048827003,0.0101110949727417,0.592853187345609,0.117159865157417,0.0151252735532861
"TEST","RSTLDH",2.97630576441103,0.0039073850746994,0.000504441244051007,0.00489848161259678,0.000833658789635103,0.000107624886955873,0.804653771034613,0.0640130875095113,0.00826405406212184,0.744560666435131,0.0827468283135782,0.0106825696003324,0.600830831931838,0.122797169198302,0.015853046375548
"TEST","ScottEqualWidth",14.1098330288133,0.246691178719184,0.0318476942278559,0.00237776329076047,0.00136554535115125,0.000176291146783325,0.818457309595564,0.0640420533270694,0.00826779353308891,0.752642398501153,0.0893455390825106,0.0115344594974829,0.608946718890953,0.136078640400825,0.0175676769348981
"TEST","cont",NA,NA,NA,0,0,0,0.826474181507839,0.0790658425182256,0.0102073563775649,0.772956994092067,0.102807898985391,0.0132724426876332,0.64315476179711,0.156771627889285,0.0202391301324343
"TRAIN","AMEVA",3.66648566681856,0.136777195952735,0.0176578600688631,0.704531060285156,0.077542928103365,0.0100107489720164,0.878830887350547,0.0543642043318326,0.00701838860023349,0.84552478755384,0.0696800550688555,0.00899565642814977,0.7519412176131,0.0981151195672279,0.0126666074698341
"TRAIN","CACC",11.3243624764855,3.57598586300736,0.461657789790022,5.92109403125638,2.4792173145507,0.320065579029465,0.89512570537546,0.0536008017900004,0.00691983375586787,0.865782407999173,0.0686113513464571,0.0088576873708538,0.787260303004685,0.097102693965126,0.012535903886627
"TRAIN","CAIM",3.31015238095238,0.0025475317700416,0.000328884937310181,0.670918444601088,0.0610568541922385,0.00788240598194515,0.864792267276103,0.0554411233602008,0.00715741824896963,0.821834714700195,0.0722103353027411,0.009322314201719,0.716046759836854,0.100753395954694,0.0130072074868791
