"ForestDisc","OneR","ScottEqualWidth","ClusterDisc","Infogain","Logreg","Naive","RDGR","QuantilDisc","EqualLength","RSTGDH","RSTLDH","Chi2","ChiMerge","CAIM","CACC","AMEVA","ExtendedChi2","MDLP","ModifiedChi2","GLMDisc"
NA,0.0627106764465996,0.0019830517984107,0.0380054787876339,0.00746947737835147,0.0267092570096176,0.0275423533964289,0.0171835021336492,0.00512448435706802,0.0417819455911977,0.0254206714116983,0.013758953922974,-0.00699756072682762,-0.00433802073641126,0.00532502814200517,0.00198889440811235,-0.000382688608272467,0.00215073195456466,0.00773973158489584,0.0109181154060204,0.062903483298941
-0.0498087519013273,NA,-0.0443436681658145,-0.0231472490594865,-0.0481755347895615,-0.0231793862093814,-0.0205861293714794,-0.0334399683737203,-0.0469862688340207,-0.0104852734148198,-0.0323278002940324,-0.0461633508778436,-0.0579156830777742,-0.053549983816104,-0.0466803154409255,-0.0521033741717844,-0.056208532204093,-0.051320574872958,-0.0392915578063681,-0.0419032582744129,0.00298358481916302
0.00353581206018038,0.0574713962435624,NA,0.0352113146670269,0.00347619376814804,0.0259387268852946,0.0240358481948083,0.0173097478566545,0.00749133936835195,0.0431792408481501,0.0244775302112658,0.00991870194160858,-0.00607939811089293,-0.00380952509433336,0.00300131082651925,-6.72537898426981e-06,-0.00362340699688017,0.0019436375038343,0.00586319813130836,0.0114044473804574,0.0603876219481415
-0.0297895848560231,0.035334187825894,-0.0273762462909048,NA,-0.0171690624264736,-0.00153419528638624,-0.000453329883991007,-0.00997828258598494,-0.0241010394225738,0.012925898291766,-0.00165273573483909,-0.010111872835394,-0.0350823044871526,-0.0327924607605072,-0.017597554936748,-0.0226783528585443,-0.0258798274400805,-0.0205222309631747,-0.0184276097682008,-0.0124394136610435,0.0293167938353507
-0.00105142908587019,0.0587859878692882,0.00325656741057464,0.0248418162024272,NA,0.0229386702587595,0.0228879978894693,0.0111730337442108,0.00149415055435436,0.03106930799178,0.0229918906558993,0.00586008674117994,-0.00634363266944955,-0.00367534609623302,0.00124054635219365,-0.00390985801899543,-0.00707760503569174,-8.9809963061608e-05,0.00579760278378776,0.00709788588881758,0.0546949240150036
-0.0190828489941582,0.0330145993518008,-0.0180455277698232,0.00845270728957083,-0.0165657595138242,NA,0.00104734746327419,-0.00256325624712416,-0.0128898739530266,0.0187767615836904,0.00397968951029299,-0.0130140826469642,-0.0272335217262988,-0.0247148494165827,-0.0160034267411557,-0.0213407885873877,-0.0235529049458016,-0.0166179614942538,-0.0115052833447013,-0.0105519404711789,0.0342293600075416
-0.0197549315165394,0.0312600040216112,-0.0164030385930301,0.0071044302874712,-0.0166310339797528,0.00316443449598103,NA,-0.00597488375851086,-0.0161134683295431,0.015186119532698,-0.000279187625385789,-0.0150543399250229,-0.0290141266002628,-0.0268727087771907,-0.0177276357787852,-0.0250607820651317,-0.0274698101021257,-0.0185756262705876,-0.0122068586476499,-0.0109831639335006,0.0327038984704639
-0.0102175544083754,0.0449573341481692,-0.0103599432027514,0.0166723345427878,-0.00376407645256892,0.00994037093354802,0.0133394710834684,NA,-0.0084101044151911,0.0301344416718522,0.0109308701270198,-0.000762730131913897,-0.0197106716246582,-0.0188877667850004,-0.0065688106889248,-0.0100390037308862,-0.0130687927776278,-0.00861868968174716,-0.007660226745181,0.000855172483289509,0.0435785708118281
-6.3476725068008e-05,0.0596634376105885,-0.00178490847739815,0.0317671540177453,0.00497712451176133,0.0202164503224829,0.0232275641493624,0.0139761245001851,NA,0.0406618739497508,0.0233589593726863,0.013354935171145,-0.00882303816750789,-0.00628565615064633,0.00288266970822617,0.00146005440076124,-0.00239120661833748,0.00351007884122845,0.00520552113029327,0.0125710644879773,0.0589018146304386
-0.0336504131501937,0.0233873387205942,-0.0345550642331691,-0.00657226507586201,-0.0220160867815606,-0.0103664669723559,-0.00716829540383337,-0.0217471869702316,-0.0325601434050321,NA,-0.0116786784694093,-0.0161590855427458,-0.0425449661739237,-0.039733934364451,-0.0239247348391179,-0.0280193954263658,-0.0312431665178252,-0.0260095342371585,-0.0244479761337743,-0.0183266471716686,0.0252871261166387
-0.0174958102618913,0.0437176262993236,-0.016488547558409,0.0105115790261638,-0.0147739718766835,0.00552821083033923,0.00971083823872757,-0.00239689123843249,-0.0159230375776125,0.0221480607002939,NA,-0.00756741090914166,-0.0275697727776818,-0.0253734102450943,-0.0138967170989374,-0.0172723230017559,-0.0215336037855324,-0.0168575139121381,-0.00896533314063714,-0.00771895381046742,0.0415259879786468
-0.00672726413868782,0.0571590112540978,-0.00245820405587535,0.0175260796993755,0.000411032956327212,0.0201967636456846,0.022012589224838,0.00769825881094468,-0.00724418795969888,0.0255565867626799,0.0139992728414338,NA,-0.0151729074442537,-0.013414410663078,0.000682077016970951,-0.00617720505692961,-0.00997365588130628,-0.00842984736616505,7.01047953219214e-05,-0.000118417998148097,0.0490850731101552
0.0130009795923825,0.0709080587774356,0.0115740289082208,0.044497083948895,0.0131328807529114,0.0370070732331448,0.0379781023986644,0.027956972764882,0.0151893412169124,0.0528930403963647,0.0358337076225458,0.0229819499265801,NA,0.00601970531953889,0.0147867413382358,0.00931010389979886,0.00661169785736995,0.00793318148462503,0.0141017391787142,0.0175463984758554,0.0750170847101437
0.0102457080631244,0.0661261675713099,0.00931363811172676,0.0416024501387908,0.00997247731647993,0.0333939722007448,0.035051065200481,0.026894412061956,0.0125956830746322,0.0497571591721324,0.0332634463239669,0.0208124207559879,-1.55807055397381e-05,NA,0.0119457285954333,0.00702127447435818,0.00413127835913956,0.00695676783886404,0.0131205432692301,0.0157046673039346,0.0717013531963874
0.000534255858682743,0.0579508003778951,0.00321098655120559,0.0248259569204034,0.00283586490318373,0.021793423486312,0.0240915364950487,0.0133136144544113,0.00311639479995277,0.0323161014616832,0.0222034002503118,0.00522583554065072,-0.0082094519842317,-0.00566101317234813,NA,-0.00414655484709326,-0.00749218214547078,-0.000334141602626782,0.00603191602869964,0.00591692047036616,0.0532810632438607
0.00378097851881966,0.0636024706122011,0.00593978605284346,0.0307829963547618,0.0088668388155943,0.0289923250658482,0.0325665844657644,0.0172658017512628,0.00453838739085638,0.0371779816127082,0.0258900865727217,0.0126894951772554,-0.00378847096286783,-0.00156725523558901,0.00873710355324701,NA,0.000649136363960367,0.000511448376924513,0.00638512875018513,0.00868241445747182,0.0647438183548065
0.00604493201149584,0.067995493089476,0.00954377477260129,0.0339017504407237,0.0116697450118872,0.0305147426016807,0.034535826435121,0.0199415364315266,0.00832104371874018,0.0404812345904376,0.0296341682416428,0.016108964148576,-0.000893429992271123,0.00134076909244979,0.0119064374619314,0.0037718304732152,NA,0.00409072739561475,0.010480776947075,0.0113096853227587,0.0661705000262767
0.00407930479833686,0.0638852947377031,0.00435781840260608,0.0282937902738311,0.00540621568278719,0.0241243985333258,0.0259554378511741,0.0160326165538534,0.00319855954716821,0.0346193963660689,0.0248677156186993,0.0154993176807063,-0.00181030466831626,-0.00140868735599513,0.00592657815170485,0.0043690907245911,0.00098401134907908,NA,0.00695026824000898,0.0111527162151033,0.0590994091615463
-0.00086871178694922,0.0519119378911398,0.000541928859163445,0.0262626129590081,0.000196540280246297,0.0179877350238668,0.0191829982770822,0.0151261623617739,0.00149159024943482,0.0334119694833863,0.0177597806153693,0.00749895203697773,-0.00707204809885795,-0.00687692692689452,5.92850736539802e-05,-0.000759286586634509,-0.00455685226327678,-0.00266753020252465,NA,0.00450917071625024,0.0504780292414554
-0.00374515322392947,0.0539145443161438,-0.00417701583979133,0.0200921308640937,-0.00154428117835414,0.0172669428572069,0.0175151442376711,0.00677919101211316,-0.0049543093370296,0.0267891102028683,0.0161782551601823,0.0074500448825919,-0.0102540782572062,-0.00929418233498722,0.00013247373535311,-0.00308235306329546,-0.00539730746943404,-0.00694934821914607,-3.28164241717447e-05,NA,0.0518043795940822
-0.0536008935723614,0.00794636734319704,-0.0512546919703893,-0.0218364062053339,-0.0460267300151262,-0.026505737684642,-0.0248562472329247,-0.0351049644093634,-0.0499707499304326,-0.0167267273544246,-0.0315112948523914,-0.0405973787405006,-0.0645359937399112,-0.0618182267538063,-0.0451012610748174,-0.0556724731677353,-0.0576639134328462,-0.0500133300210755,-0.0414661119981695,-0.0428073777358964,NA
