"name","disc_method","data","mean_acc","mean_F1","mean_Kappa","diff_acc","relative_diff_acc","diff_F1","relative_diff_F1","diff_Kappa","relative_diff_Kappa"
"APPENDICITIS","AMEVA","TEST",0.834895833333333,0.734168491295303,0.492909381422736,-0.034375,-0.0395446375074896,-0.0402666293744688,-0.0519948389474435,-0.0613158255312755,-0.0791749029644295
"AUSTRA","AMEVA","TEST",0.865458937198068,0.863332405492883,0.727128439812735,0.0197262479871176,0.0233244478293984,0.0255027942356767,0.0304391178027337,0.0443683117918023,0.0529562469452773
"AUTOS","AMEVA","TEST",0.706720430107527,0.627281184099513,0.609024041868798,0.0475806451612909,0.0721859706362162,0.0511075730877816,0.0887016901000365,0.0701258876343662,0.121709648436048
"BALANCE","AMEVA","TEST",0.773707664884135,0.542668282359696,0.581782417786953,-0.0782531194295902,-0.091850611988702,-0.0815940902701524,-0.130704802736097,-0.147847771215921,-0.236835948630186
"BANANA","AMEVA","TEST",0.716844863731656,0.709194107746299,0.424038333876048,-0.131771488469602,-0.15527804540626,-0.129757511887076,-0.154666263048376,-0.262517083068372,-0.312910872242064
"BANDS","AMEVA","TEST",0.741499144178593,0.728201810044509,0.460298644517889,0.00703412360246169,0.00957720709005851,0.00655049327415314,0.00907708906216496,0.00366587464833051,0.00507984197234836
"BANKNOTE","AMEVA","TEST",0.865695792880259,0.853817077486959,0.719461162168754,-0.0989886731391588,-0.102612487943976,-0.110207027068394,-0.114319783652325,-0.208648665399846,-0.216435112373132
"BRCANCER","AMEVA","TEST",0.691428571428572,0.68313419853723,0.375987255513591,-0.0299999999999999,-0.0415841584158415,-0.0334301811435239,-0.0466534230440227,-0.0666139946004959,-0.0929630281513211
"BUPA","AMEVA","TEST",0.667637540453075,0.64870863276997,0.30465230615439,-0.0228155339805827,-0.0330442934145772,-0.0280511253081047,-0.0414491626803681,-0.0624281400982736,-0.092245644563091
"CLEVELAND","AMEVA","TEST",0.603442028985507,0.393697078243243,0.357178349359138,-0.00380434782608663,-0.00626491646777989,0.00650724562795302,0.0168063442782047,-0.00667441893995646,-0.0172381048719018
"CMC","AMEVA","TEST",0.537745098039216,0.516705593601231,0.303114086324757,-0.0224736048265457,-0.0401157703439451,-0.026338183821433,-0.0485010323595577,-0.0315710266900526,-0.0581371668411184
"CRX","AMEVA","TEST",0.87512077294686,0.87349413547198,0.747335562472607,0.0301932367149759,0.0357347055460263,0.0382916010475097,0.0458470843528942,0.0668493409329362,0.0800396768180324
"CRYOTHERAPY","AMEVA","TEST",0.82962962962963,0.827537223003141,0.658555149012298,0.0141975308641975,0.0174110522331567,0.0170382072245623,0.0210218728127573,0.030155153072876,0.037205662790236
"DERMA","AMEVA","TEST",0.942342342342342,0.927560503192553,0.927485316556462,0.0135135135135136,0.0145489815712901,0.0101283069443956,0.0110398424927917,0.0180686372027566,0.019694793006664
"ECOLI","AMEVA","TEST",0.784477124183006,0.523889759991238,0.705178460744033,-0.00457516339869302,-0.00579830192586483,-0.010267857871849,-0.0192225244543472,-0.00875605164927618,-0.0163922620523601
"GERMAN","AMEVA","TEST",0.764055555555555,0.687998493319227,0.385083280996845,-0.0113888888888891,-0.0146869178965471,-0.0141633834330279,-0.0201711085462779,-0.0279684324945655,-0.0398318869488178
"HABERMAN","AMEVA","TEST",0.725274725274725,0.588779833198652,0.200513198346778,-0.0062271062271062,-0.00851276915373057,-0.0106887909608527,-0.0178304427122256,-0.0167903257156715,-0.0280086814205041
"HAYES","AMEVA","TEST",0.790070921985816,0.804525239178838,0.665861530274582,0.0244680851063828,0.0319592403890687,0.0250880692537647,0.0321874170514301,0.0392817014699157,0.0503975214239422
"HEART","AMEVA","TEST",0.817283950617284,0.813595203967362,0.628173840208833,-0.00576131687242798,-0.00699999999999999,-0.00368567489016369,-0.00450967957957842,-0.0106382685764784,-0.013016661531773
"HEPATISIS","AMEVA","TEST",0.840070921985816,0.74229204400268,0.48977454029039,-0.0120567375886528,-0.0141489804411156,-0.0177806450003636,-0.0233933481068577,-0.0346406312500597,-0.045575418971436
"HORSECOLIC","AMEVA","TEST",0.852252252252252,0.84023491800017,0.681093299630524,0.00705705705705684,0.00834961804938684,0.0138998957324005,0.0168211383492545,0.0217761061531911,0.0263526361177691
"HYPOTHYROID","AMEVA","TEST",0.983596768528275,0.904280407034413,0.808632886332919,-0.00096592904812054,-0.00098107418704596,-0.0054637943001008,-0.00600585779176817,-0.0109567102710556,-0.012043726417803
"IMMUNOTHERAPY","AMEVA","TEST",0.794444444444445,0.622735581194512,0.276181488248044,-0.0067901234567902,-0.00847457627118653,-0.00402869116927851,-0.00642776135609106,-0.0146474214469146,-0.0233699049112564
"INDIAN","AMEVA","TEST",0.719619047619048,0.61011662031923,0.24108930134726,0.00933333333333364,0.0131402520783056,0.00633275168887992,0.0104884413411796,-0.0181979452294322,-0.030139833431975
"ION","AMEVA","TEST",0.909365079365079,0.900873848947459,0.802079115429787,0.00650793650793613,0.0072081575246128,0.00681075690340127,0.00761775870630129,0.012329904599841,0.0137908663376895
"IRIS","AMEVA","TEST",0.933703703703704,0.933389752732368,0.900555555555556,-0.00962962962962965,-0.0102080879466039,-0.00971680224518401,-0.0103029739257992,-0.0144444444444441,-0.0153158138581573
"MAMMOGRAPHIC","AMEVA","TEST",0.8234375,0.822320275285919,0.645721211609833,0.00179398148148147,0.0021834061135371,0.00160605625937316,0.00195690073613944,0.00373192026019731,0.00454716169609412
"MUTAGENESIS","AMEVA","TEST",0.70766323024055,0.603490575961501,0.24640322186454,-0.0615120274914084,-0.0799714068712855,-0.0781253463251753,-0.114617842351865,-0.153326832604987,-0.224946084138716
