"Discretizer","Wins_count","Ties_count","Loss_count","class_method"
"ForestDisc",15,5,0,"RF"
"OneR",0,1,19,"RF"
"ScottEqualWidth",11,9,0,"RF"
"ClusterDisc",3,2,15,"RF"
"Infogain",8,8,4,"RF"
"Logreg",4,4,12,"RF"
"Naive",3,4,13,"RF"
"RDGR",5,4,11,"RF"
"QuantilDisc",12,8,0,"RF"
"EqualLength",2,5,13,"RF"
"RSTGDH",2,1,17,"RF"
"RSTLDH",5,4,11,"RF"
"Chi2",10,10,0,"RF"
"ChiMerge",10,10,0,"RF"
"CAIM",9,9,2,"RF"
"CACC",10,9,1,"RF"
"AMEVA",13,7,0,"RF"
"ExtendedChi2",10,9,1,"RF"
"MDLP",9,7,4,"RF"
"ModifiedChi2",8,5,7,"RF"
"GLMDisc",0,1,19,"RF"
"ForestDisc",12,7,1,"CART"
"OneR",0,0,20,"CART"
"ScottEqualWidth",7,11,2,"CART"
"ClusterDisc",2,8,10,"CART"
"Infogain",12,7,1,"CART"
"Logreg",3,10,7,"CART"
"Naive",4,10,6,"CART"
"RDGR",2,9,9,"CART"
"QuantilDisc",4,8,8,"CART"
"EqualLength",2,5,13,"CART"
"RSTGDH",2,11,7,"CART"
"RSTLDH",3,14,3,"CART"
"Chi2",3,10,7,"CART"
"ChiMerge",3,11,6,"CART"
"CAIM",13,7,0,"CART"
"CACC",2,11,7,"CART"
"AMEVA",13,7,0,"CART"
"ExtendedChi2",18,2,0,"CART"
"MDLP",9,10,1,"CART"
"ModifiedChi2",13,6,1,"CART"
"GLMDisc",1,0,19,"CART"
"ForestDisc",12,6,2,"Boosting"
"OneR",0,2,18,"Boosting"
"ScottEqualWidth",11,7,2,"Boosting"
"ClusterDisc",3,5,12,"Boosting"
"Infogain",10,4,6,"Boosting"
"Logreg",3,6,11,"Boosting"
"Naive",2,5,13,"Boosting"
"RDGR",3,5,12,"Boosting"
"QuantilDisc",8,2,10,"Boosting"
"EqualLength",2,5,13,"Boosting"
"RSTGDH",2,2,16,"Boosting"
"RSTLDH",4,4,12,"Boosting"
"Chi2",19,1,0,"Boosting"
"ChiMerge",19,1,0,"Boosting"
"CAIM",10,6,4,"Boosting"
"CACC",13,5,2,"Boosting"
"AMEVA",13,5,2,"Boosting"
"ExtendedChi2",12,6,2,"Boosting"
"MDLP",10,8,2,"Boosting"
"ModifiedChi2",9,4,7,"Boosting"
"GLMDisc",0,1,19,"Boosting"
"ForestDisc",3,4,13,"SVM"
"OneR",0,0,20,"SVM"
"ScottEqualWidth",6,7,7,"SVM"
"ClusterDisc",7,8,5,"SVM"
"Infogain",10,9,1,"SVM"
"Logreg",7,6,7,"SVM"
"Naive",4,4,12,"SVM"
"RDGR",7,10,3,"SVM"
"QuantilDisc",11,8,1,"SVM"
"EqualLength",1,1,18,"SVM"
"RSTGDH",3,9,8,"SVM"
"RSTLDH",10,8,2,"SVM"
"Chi2",3,2,15,"SVM"
"ChiMerge",4,3,13,"SVM"
"CAIM",14,6,0,"SVM"
"CACC",7,7,6,"SVM"
"AMEVA",15,5,0,"SVM"
"ExtendedChi2",15,5,0,"SVM"
"MDLP",12,8,0,"SVM"
"ModifiedChi2",10,9,1,"SVM"
"GLMDisc",1,1,18,"SVM"
"ForestDisc",13,7,0,"NaiveBayes"
"OneR",0,1,19,"NaiveBayes"
"ScottEqualWidth",11,7,2,"NaiveBayes"
"ClusterDisc",3,5,12,"NaiveBayes"
"Infogain",10,4,6,"NaiveBayes"
"Logreg",4,5,11,"NaiveBayes"
"Naive",2,4,14,"NaiveBayes"
"RDGR",2,4,14,"NaiveBayes"
"QuantilDisc",7,3,10,"NaiveBayes"
"EqualLength",3,6,11,"NaiveBayes"
"RSTGDH",2,6,12,"NaiveBayes"
"RSTLDH",2,6,12,"NaiveBayes"
"Chi2",15,5,0,"NaiveBayes"
"ChiMerge",15,5,0,"NaiveBayes"
"CAIM",11,7,2,"NaiveBayes"
"CACC",11,9,0,"NaiveBayes"
"AMEVA",13,7,0,"NaiveBayes"
"ExtendedChi2",12,8,0,"NaiveBayes"
"MDLP",10,5,5,"NaiveBayes"
"ModifiedChi2",9,5,6,"NaiveBayes"
"GLMDisc",0,1,19,"NaiveBayes"
"ForestDisc",16,3,1,"KNNC"
"OneR",0,4,16,"KNNC"
"ScottEqualWidth",16,3,1,"KNNC"
"ClusterDisc",4,5,11,"KNNC"
"Infogain",4,4,12,"KNNC"
"Logreg",7,4,9,"KNNC"
"Naive",8,3,9,"KNNC"
"RDGR",13,2,5,"KNNC"
"QuantilDisc",16,3,1,"KNNC"
"EqualLength",7,4,9,"KNNC"
"RSTGDH",3,8,9,"KNNC"
"RSTLDH",13,2,5,"KNNC"
"Chi2",20,0,0,"KNNC"
"ChiMerge",16,3,1,"KNNC"
"CAIM",4,5,11,"KNNC"
"CACC",13,2,5,"KNNC"
"AMEVA",12,0,8,"KNNC"
"ExtendedChi2",3,5,12,"KNNC"
"MDLP",2,2,16,"KNNC"
"ModifiedChi2",1,1,18,"KNNC"
"GLMDisc",0,1,19,"KNNC"
