"ForestDisc","OneR","ScottEqualWidth","ClusterDisc","Infogain","Logreg","Naive","RDGR","QuantilDisc","EqualLength","RSTGDH","RSTLDH","Chi2","ChiMerge","CAIM","CACC","AMEVA","ExtendedChi2","MDLP","ModifiedChi2","GLMDisc","class_method"
NA,0.0255604774965803,-0.00093926620830489,0.0150911644010702,0.00358192738438076,0.00756800194275433,0.010471885018727,0.0055463295081277,-0.000188074563850303,0.0128663582242436,0.0162903894843923,0.00819083036252998,-0.00148647305471939,-0.000857708281511546,0.00144559067432212,0.00270689296306319,-0.000202576600393945,0.0013640448000982,0.00286292652383753,0.00437253646800874,0.0266525139866607,"RF"
-0.0452899860415229,NA,-0.0377417529245568,-0.0249100246547822,-0.0299434613851955,-0.0209637696506958,-0.017867557005282,-0.0291408865117133,-0.0420154313496087,-0.0272009486595669,-0.0226897930882146,-0.0301016044428688,-0.0387083691404362,-0.0357985310495798,-0.0323665875476178,-0.0341145484610685,-0.0382082537861039,-0.0322524163662557,-0.0277029577448179,-0.0282747119997691,-0.00993786437344812,"RF"
-0.00471325454204971,0.0182817649655227,NA,0.0112135739936142,-0.00215067543522915,0.00295226346914498,0.00543650421656942,0.00293404629188432,-0.0024147211816989,0.00823439921104117,0.0125379820345478,0.00241671023789518,-0.00193294147852716,-0.00207109605458454,-0.00255942466406646,-0.0015112401617736,-0.00449796008225181,-0.00145054570431807,3.66595479298698e-05,0.00167978118481879,0.0229262404321751,"RF"
-0.0219736434468598,0.00970798333699573,-0.018623913325518,NA,-0.0154314650277172,-0.00798757057766704,-0.00709776360843169,-0.0106705354492435,-0.0198720352545143,-0.00528879808358826,8.12027514418556e-06,-0.00799528418828992,-0.0213944038193734,-0.0216542434346803,-0.0154951809113118,-0.0159327766408697,-0.0179608171278865,-0.0168034334564358,-0.0153570196678097,-0.0133403435179556,0.0103270619466074,"RF"
-0.0101801571544576,0.0169878726665464,-0.00467268153786814,0.00777701696100502,NA,0.00481867957392449,0.00598305767046855,0.000669921169901555,-0.00817390391690498,0.00435437902281341,0.010422247002979,-0.000322835237218529,-0.00650009104647782,-0.00522713245627777,-0.00419861085328622,-0.00598687737047441,-0.0069778589239806,-0.00516412744948467,-0.0028299775889113,-0.00241815914435231,0.0193675913353966,"RF"
-0.0141805950590284,0.00896596389329736,-0.0101663333489729,0.000668516630771828,-0.0112276627829034,NA,-0.00127216080536537,-0.00560973634655664,-0.011807355171345,-0.000880474187422014,0.00470875048530416,-0.00536718726989213,-0.0127195044392513,-0.0125509493383138,-0.0113683531732042,-0.0116043119114561,-0.0129660262081348,-0.0107179016267213,-0.00875893617975057,-0.00860001157541786,0.0121859522400963,"RF"
-0.0186944175633776,0.00584191103459891,-0.0130400041407083,-5.4126658680929e-05,-0.0116738309668369,-0.00350161980160112,NA,-0.00712130769696553,-0.014181835265289,-0.00468614351841564,0.00116167790426012,-0.00807061869748963,-0.0137561502011222,-0.0139015911881289,-0.0122181620037214,-0.0139530074130531,-0.0149136065138635,-0.0124799025688685,-0.0103484035086696,-0.00983313472884977,0.00980411905510122,"RF"
-0.0128300970159804,0.0148096375243398,-0.0103987593126489,0.00311747235773046,-0.00848319501713774,-0.0020134232508975,-0.000653622215992713,NA,-0.00938206101959426,0.00270817488792365,0.00335513378320582,-0.00386557552832016,-0.0115992643953583,-0.0130500891486276,-0.00946009398669174,-0.00911978579031617,-0.0115531502341266,-0.00925617495786604,-0.00853927942965353,-0.00576342059327952,0.014358476214715,"RF"
-0.00485523688632029,0.0241853845443726,-0.00340950570390597,0.0129580570050712,0.000344261653530829,0.00401878144009567,0.00619718137452975,0.00309688212527628,NA,0.01015264821515,0.0136620562887016,0.00579900344729611,-0.00356939819929714,-0.00375323606434745,-0.00114536820018057,-0.000221477024825962,-0.00292889196768123,-1.18724208726011e-05,0.00119275345570864,0.00358227989864824,0.0246476738555891,"RF"
-0.0192582073868337,0.00974727679930809,-0.0157407878378866,-0.00110971199178636,-0.0127584028659169,-0.00729941650826378,-0.0043205010951189,-0.0100045436862701,-0.016651545179079,NA,-0.000496869206731705,-0.00620432215133485,-0.0193173982100259,-0.01883423155882,-0.0128768048774875,-0.01375433422658,-0.015785227917788,-0.0135573994834968,-0.0125797023612817,-0.0100913538640978,0.012520597484256,"RF"
-0.0263662079874777,0.0087507295299452,-0.0227172157467597,-0.0098203841112147,-0.0215275177850531,-0.0159145211045044,-0.0118573893819562,-0.0142573855541282,-0.0238178179175424,-0.00970499513794886,NA,-0.0143747170108679,-0.0245041574178446,-0.0242054890682137,-0.0224903110027033,-0.0205644623371995,-0.0242792382086047,-0.0204378536719494,-0.017826451436744,-0.0166379958867275,0.0045955154255499,"RF"
-0.0163506944532474,0.0168043669079668,-0.0111665669397047,0.000349282850518538,-0.00649870354260418,-0.00111566269001028,0.00115178668370378,-0.0047382854525157,-0.0136752767929869,-0.00215643368077959,0.00526057597165728,NA,-0.0135266251435407,-0.0134821941690918,-0.00734318029911762,-0.00909514616446415,-0.0119290068451577,-0.0120014869758368,-0.0098053048117268,-0.00841029068081869,0.0132446530738045,"RF"
-0.00492604980412571,0.0210249686139451,-0.00348245388088647,0.01259943202244,-0.000852824289704981,0.00410984885148583,0.00575598866004973,0.00317498477220524,-0.00274837168211825,0.0106306746916895,0.0136223893950955,0.00426808545880549,NA,-0.00229011501886837,-0.00155118370525111,-0.00160608345746129,-0.00396434184435998,-0.00254818303224301,-0.00125780795383153,0.000473796040527141,0.0241573362093279,"RF"
-0.00555455985882144,0.0193210430408143,-0.00357967125411363,0.0128504759393344,-0.00172113289530998,0.00417374947504485,0.00628227342476911,0.00462051800919721,-0.0027603977231472,0.0102270647278443,0.0138055477942655,0.00466427132785806,-0.00122261788183167,NA,-0.00243047093684,-0.00184795853687867,-0.00512125534747175,-0.00196202357241186,-0.000914994825650935,0.000608708900741558,0.0238029509476614,"RF"
-0.00765378266159207,0.0194620207617875,-0.00359602727933453,0.00799748798921927,-0.000284206668952897,0.00543101524568625,0.00654766662761996,0.00214306764755925,-0.00530980657170281,0.00449801393496086,0.011379234822775,0.000374439985801409,-0.00479630027002207,-0.00394421664221458,NA,-0.00426739673933212,-0.005827111039158,-0.00396190371645073,-0.00177246333304383,-0.00126827476942533,0.0198112257947455,"RF"
-0.0095935291056834,0.0201457704166539,-0.00463871893088657,0.00887389053824233,0.000417353054786748,0.0050376121900048,0.00787441410764397,0.000964208738875932,-0.00683325044071147,0.0054752344725046,0.00949581749039232,0.00190125423603947,-0.00492495878812072,-0.00435165187990488,-0.000616230711203601,NA,-0.00421985197652218,-0.00358948951386259,-0.00183251510506996,-0.000283212402801068,0.0211005892909202,"RF"
-0.00621497253488408,0.0225879248360251,-0.00159123166554676,0.0103819714587875,0.00208213283855995,0.00701767590707621,0.00940327171966182,0.0043110065395291,-0.00392105553222209,0.00726615282566018,0.0126704764774905,0.00482320088652219,-0.00219996061811198,-0.00072545500374953,0.00143637203907395,-0.000199807593137319,NA,-0.00127487826049567,0.000316165329668408,0.00127231179114607,0.0233397373034351,"RF"
-0.0081533752861685,0.0173476415599365,-0.00522710163375363,0.009117913713011,-0.00144002367458352,0.00381915057645528,0.00549012525029586,0.00129376753205496,-0.00727264715676939,0.00590575178197948,0.0103149889742116,0.0039156190693019,-0.00416072837413974,-0.00455743214174552,-0.00272817188250473,-0.00184748254376789,-0.00425956832940045,NA,-0.00124977134966271,0.0017095362885954,0.0207240626409275,"RF"
-0.0101521072772952,0.0135362584435956,-0.00638782889292031,0.00737254436546353,-0.00428101501296271,0.00180527906284424,0.003166920338289,0.000739203912769283,-0.00810588040720236,0.00412954726253001,0.00702699938963399,0.00161990390721145,-0.0059722993584635,-0.00678324642623772,-0.0047457669019753,-0.00370681809769483,-0.00629130455316264,-0.0034944724407574,NA,-0.00109515444367026,0.0180918921361953,"RF"
-0.0120107955058549,0.0142941845913247,-0.00880833086849598,0.00516317195766032,-0.00440800298409479,0.00160236845631414,0.00299566513208118,-0.00244320215329815,-0.0112205149884047,0.00230244897507634,0.00642648146556149,0.00043203977155281,-0.00785859055613455,-0.00761276432311225,-0.00571393343517154,-0.00565557321009281,-0.00733319899929293,-0.00622689343689783,-0.00367223353534863,NA,0.0183067842476398,"RF"
