"name","data","class_method","disc_method","mean_NB_interval","std_NB_interval","mean_exe_time","std_exe_time","mean_incons","std_incons","mean_acc","std_acc","mean_Precision","std_Precision","mean_Recall","std_Recall","mean_F1","std_F1","mean_Kappa","std_Kappa","mean_Kappaw","std_Kappaw","mean_NB_interval..23","std_NB_interval..24"
"pageblocks","test","Boosting","AMEVA",5,0,26.8724246501923,19.3755434652775,0,0,0.941534713763703,0.0056258247911291,0.644089012918824,0.0221064433211791,0.66890897990898,0.0430382782759213,0.619479750809861,0.0257449277456565,0.714938161885151,0.0207159665601913,0.747272938878437,0.0149084927723172,5,0
"pageblocks","test","Boosting","CACC",5.09,0.159513148186739,27.3116089820862,18.7906369386953,0,0,0.942021924482339,0.00486194636781897,0.647672819639731,0.0209846139426778,0.668485864053028,0.0344297723040004,0.617351755531353,0.0256904172662242,0.716707644091593,0.0175042356517617,0.748306822682869,0.0144171362928194,5.09,0.159513148186739
"pageblocks","test","Boosting","CAIM",5,0,28.331924033165,20.7279583005365,0,0,0.9384287454324,0.00637091280553065,0.653068158138595,0.0233336027669943,0.66847092459779,0.0418508154662628,0.611888991554051,0.0326213398408088,0.701648696746272,0.0253842146648148,0.730250095679555,0.0182010625016272,5,0
"pageblocks","test","Boosting","Chi2",49.89,1.34697191260001,422.669061398506,10.3042386938097,0,0,0.94074299634592,0.00374376783312087,0.643505626717073,0.0238785701259738,0.679064958258988,0.0426836240915472,0.613470866196592,0.0307671517702337,0.717795555119713,0.0165321127956138,0.754831755635494,0.0194690129121678,19.46,0.333999334663342
"pageblocks","test","Boosting","ChiMerge",49.89,1.34697191260001,370.979818630219,9.34392837390215,0,0,0.94074299634592,0.0037437678331208,0.643505626717073,0.0238785701259738,0.679064958258988,0.0426836240915472,0.613470866196592,0.0307671517702337,0.717795555119713,0.0165321127956137,0.754831755635494,0.0194690129121678,19.46,0.333999334663342
"pageblocks","test","Boosting","ClusterDisc",3,0,0.0146207809448242,0.0026560424324904,0,0,0.88721071863581,0.0267824369915398,0.557838531787507,0.0732136402256089,0.49428095122125,0.082826060314081,0.453311148166074,0.0719565665051633,0.508421137383031,0.0868551874993944,0.516052314679393,0.082310599153399,3,0
"pageblocks","test","Boosting","Extended Chi2",18.96,1.13939555125611,603.535875225067,24.6208585834647,0,0,0.94074299634592,0.00520776691141859,0.6482675567327,0.0314594399791944,0.688834037438515,0.0451303493426141,0.614871651682714,0.0271838510604976,0.718776903085735,0.0222907994957026,0.75609381317353,0.0163135231393642,14.27,0.871843512971858
"pageblocks","test","Boosting","Forest_disc_100",4,0,23.8198653697968,2.7286916868198,0,0,0.923142509135201,0.010342474891768,0.66402861677694,0.0510487490012121,0.624680447247611,0.0289003437146303,0.592885403476543,0.0426241561854675,0.631188204565946,0.0425299449126934,0.654361842491375,0.0329642825085268,4,0
"pageblocks","test","Boosting","Forest_disc_125",4,0,25.635231256485,2.54454875469658,0,0,0.916686967113277,0.0125593992220186,0.654135916920924,0.0556053613428145,0.613792332046063,0.0492518685330086,0.581251832338735,0.0591022503030498,0.610554409168505,0.0428081745477073,0.642366560083085,0.0438983597565385,4,0
"pageblocks","test","Boosting","Forest_disc_150",4,0,26.6406795978546,1.83611550211298,0,0,0.930389768574909,0.00737579789439969,0.66664361345891,0.0468692387579416,0.628460844296665,0.0489907912731557,0.598336163293357,0.0499684159397378,0.65658702658245,0.0287967449309713,0.669880240590414,0.033477702332557,4,0
"pageblocks","test","Boosting","Forest_disc_175",4,0,27.7043532848358,1.338644099611,0,0,0.921071863580999,0.011655356057047,0.65704601981118,0.0509557939297993,0.62778092554212,0.028982196128613,0.591553304296256,0.0389069545979818,0.624935972410859,0.0357552540532425,0.651244121691647,0.0320403194670983,4,0
"pageblocks","test","Boosting","Forest_disc_200",4,0,29.1313220262527,2.17791635900217,0,0,0.917722289890378,0.00833283260690868,0.653710067646849,0.0917713706620522,0.6342595166028,0.0546208768288253,0.601898386933931,0.0687252256282217,0.614576362225446,0.0315042327819185,0.645317158496177,0.0346813502302087,4,0
