"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest"
1,2,0.000386964968292052,1,12.6,NA,NA,NA,NA,NA,NA,NA,NA,0.6998,0.3003,NA,NA,NA,NA,NA,NA,NA,NA,0.000386964968292052,2,1,"Forest_disc_NLD50"
1,3,9.82530623728746e-31,4.3,1,29.9,NA,NA,NA,NA,NA,NA,NA,0.8861,0.0897,0.0242,NA,NA,NA,NA,NA,NA,NA,9.82530623728746e-30,3,1,"Forest_disc_NLD50"
1,4,6.10747275060837e-31,4.3,1,29.9,5.8,NA,NA,NA,NA,NA,NA,0.8859,0.0897,0.0242,2e-04,NA,NA,NA,NA,NA,NA,6.10747275060837e-29,4,1,"Forest_disc_NLD50"
1,5,2.3302158024955e-09,4.2,1,29.8,9.1,17.8,NA,NA,NA,NA,NA,0.8987,0.0722,0.0245,0.0046,0,NA,NA,NA,NA,NA,2.3302158024955e-07,4,1,"Forest_disc_NLD50"
1,6,2.326390145533e-33,3.9,4.5,5.4,1,30,14.1,NA,NA,NA,NA,0.6747,0.1353,0.0943,0.0702,0.0237,0.0018,NA,NA,NA,NA,2.326390145533e-29,6,1,"Forest_disc_NLD50"
1,7,4.26687618281485e-34,4.3,1,3.2,30,14.5,21.4,11,NA,NA,NA,0.8492,0.0785,0.0461,0.0236,0.0025,0,0,NA,NA,NA,4.26687618281485e-31,5,1,"Forest_disc_NLD50"
1,8,3.94671322219906e-10,4.1,1,4,30,10.9,9.1,19.1,30,NA,NA,0.847,0.0651,0.0528,0.0235,0.0077,0.0036,1e-04,1e-04,NA,NA,3.94671322219906e-05,7,1,"Forest_disc_NLD50"
1,9,5.37643463971892e-09,3.7,8.4,30,1,4.1,6.7,10.7,8.5,19,NA,0.9136,0.0514,0.0236,0.0057,0.0051,6e-04,0,0,0,NA,5.37643463971892e-05,6,1,"Forest_disc_NLD50"
1,10,3.47874810019569e-12,4.1,5.2,3.3,1.1,1,29.9,1.1,1.6,30,24.1,0.6513,0.158,0.0911,0.0336,0.03,0.024,0.0106,0.0011,1e-04,0,3.47874810019569e-06,8,1,"Forest_disc_NLD50"
2,2,2.32281922790932e-08,45.6,70.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5174,0.4826,NA,NA,NA,NA,NA,NA,NA,NA,2.32281922790932e-08,2,1,"Forest_disc_NLD50"
2,3,4.14610732757457e-31,55.7,75.4,36.3,NA,NA,NA,NA,NA,NA,NA,0.594,0.2475,0.1585,NA,NA,NA,NA,NA,NA,NA,4.14610732757457e-30,3,1,"Forest_disc_NLD50"
2,4,7.8861110612664e-10,59.9,40.3,75.6,81.8,NA,NA,NA,NA,NA,NA,0.5436,0.277,0.1461,0.0333,NA,NA,NA,NA,NA,NA,7.8861110612664e-08,4,1,"Forest_disc_NLD50"
2,5,1.44545742638868e-09,48.8,73.9,58.8,33.3,70.7,NA,NA,NA,NA,NA,0.3816,0.2778,0.2438,0.0753,0.0216,NA,NA,NA,NA,NA,1.44545742638868e-06,5,1,"Forest_disc_NLD50"
2,6,3.88354085236705e-09,50.8,68.4,37.2,77.5,60.1,54.7,NA,NA,NA,NA,0.4383,0.3298,0.1316,0.1002,1e-04,0,NA,NA,NA,NA,3.88354085236705e-06,5,1,"Forest_disc_NLD50"
2,7,1.04296520250248e-08,54.1,41.2,72.9,71.9,71.5,51.6,65.3,NA,NA,NA,0.3057,0.2549,0.1504,0.1285,0.0761,0.0512,0.0332,NA,NA,NA,0.00104296520250248,7,1,"Forest_disc_NLD50"
