"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter"
0.887072808320951,0.887412755930812,0.885383372398608,0.886198180879657,0.77244699120005,0.77244699120005,"train","RF",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.822916666666667,0.822104247104247,0.823744845985933,0.822434990751822,0.645080224241253,0.645080224241253,"test","RF",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.846953937592868,0.848064487156458,0.844071844591235,0.845375358294019,0.69099954086113,0.69099954086113,"train","CART",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.840277777777778,0.839340286199369,0.839340286199369,0.839340286199369,0.678680572398739,0.678680572398739,"test","CART",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.884101040118871,0.884168627870489,0.882613289296115,0.883263654154065,0.766560532213882,0.766560532213882,"train","Boosting",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.8125,0.811549418183574,0.813000242541838,0.811919504643963,0.624002707799429,0.624002707799429,"test","Boosting",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.817236255572065,0.830089224823824,0.809410291924142,0.812030382506216,0.627418679701319,0.627418679701319,"train","SVM",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.826388888888889,0.837015017169802,0.81896677176813,0.821843915474835,0.646209031497224,0.646209031497224,"test","SVM",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.843982169390788,0.843341344454655,0.844999644861141,0.843628638762572,0.687457153345688,0.687457153345688,"train","NaiveBayes",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.829861111111111,0.830455334748215,0.832330827067669,0.829694797436733,0.660082859620387,0.660082859620387,"test","NaiveBayes",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.87221396731055,0.873939344910653,0.869357731372967,0.870856464540083,0.74194325052166,0.74194325052166,"train","KNN_Class",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.895833333333333,0.89558717144924,0.897889886005336,0.895652173913043,0.791556091676719,0.791556091676719,"test","KNN_Class",0,"Forest_disc_NLD50",6,2.80805993080139,1,6
0.882615156017831,0.883627946127946,0.880358157539598,0.881543914997337,0.763206534567918,0.763206534567918,"train","RF",0,"Forest_disc_NLD100",6.4,3.36540985107422,1,6.4
0.809027777777778,0.807860050397364,0.808173659956342,0.808006981564307,0.616018617279162,0.616018617279162,"test","RF",0,"Forest_disc_NLD100",6.4,3.36540985107422,1,6.4
0.841010401188707,0.845371585895052,0.836356452873073,0.838494369472922,0.677873754747281,0.677873754747281,"train","CART",0,"Forest_disc_NLD100",6.4,3.36540985107422,1,6.4
